,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
1333,11567,Sales & Marketing,region_26,0,m,other,1,31,1.0,4,0,0,48,0
1339,44971,Sales & Marketing,region_16,0,m,other,1,37,3.0,4,0,0,47,0
1356,66827,Operations,region_2,0,f,sourcing,1,36,4.0,2,0,0,60,0
1373,9852,Sales & Marketing,region_26,0,m,other,1,36,1.0,7,0,0,46,0
1413,39147,Sales & Marketing,region_16,0,m,sourcing,2,23,,1,0,0,50,0
1467,74391,Sales & Marketing,region_22,0,m,sourcing,2,28,3.0,5,0,0,52,0
1501,34583,Operations,region_2,0,f,sourcing,1,47,3.0,8,0,0,57,0
1520,32182,Sales & Marketing,region_2,0,f,other,2,25,3.0,2,0,0,49,0
1524,64544,Technology,region_2,0,m,sourcing,1,26,3.0,3,0,0,80,0
1550,56313,Analytics,region_22,0,f,other,1,28,4.0,2,1,0,83,0
1559,73283,Analytics,region_22,0,m,other,1,25,,1,0,0,87,0
1581,693,Sales & Marketing,region_2,0,m,sourcing,1,42,1.0,4,1,0,49,0
1585,44105,Sales & Marketing,region_28,0,m,other,1,34,5.0,7,1,0,53,1
1591,50560,Sales & Marketing,region_2,0,m,sourcing,2,24,,1,0,0,54,0
1601,42205,Sales & Marketing,region_2,0,m,other,1,20,5.0,2,0,0,43,0
1643,51411,Sales & Marketing,region_22,0,m,sourcing,1,23,,1,0,0,49,0
1657,50888,Operations,region_22,0,m,sourcing,1,28,3.0,6,1,0,60,0
1664,42028,Analytics,region_2,0,m,other,1,38,4.0,11,0,0,84,0
1708,328,Sales & Marketing,region_7,0,m,other,1,27,5.0,2,1,0,51,0
1715,16999,Sales & Marketing,region_15,0,m,other,1,26,1.0,5,0,0,50,0
1719,10324,Sales & Marketing,region_2,0,m,sourcing,1,50,4.0,19,0,0,50,0
1727,67891,Sales & Marketing,region_2,0,m,sourcing,1,23,5.0,2,0,0,64,1
1737,51271,R&D,region_22,0,m,other,1,29,5.0,2,1,0,83,1
1748,48958,Sales & Marketing,region_13,0,m,other,1,29,,1,0,0,47,0
1752,7244,Sales & Marketing,region_32,0,m,sourcing,1,28,2.0,9,0,0,51,0
1809,21625,Sales & Marketing,region_2,0,m,referred,1,24,5.0,3,0,0,56,0
1829,4586,Sales & Marketing,region_26,0,m,other,2,24,3.0,2,0,0,52,0
1836,37557,Sales & Marketing,region_2,0,m,sourcing,1,47,2.0,12,0,0,48,0
1839,47478,Sales & Marketing,region_15,0,m,sourcing,1,40,1.0,15,0,0,47,0
1845,17112,Sales & Marketing,region_25,0,m,sourcing,1,35,2.0,7,0,0,52,0
1868,29435,Analytics,region_22,0,m,sourcing,2,22,,1,0,0,84,0
1885,7456,Sales & Marketing,region_1,0,m,other,1,28,,1,0,0,48,0
1887,49934,Sales & Marketing,region_25,0,m,other,1,30,3.0,5,0,0,49,0
1897,31649,Sales & Marketing,region_26,0,m,other,1,26,1.0,3,1,0,55,0
1921,14085,Sales & Marketing,region_16,0,m,sourcing,1,22,,1,0,0,61,1
1964,67122,Sales & Marketing,region_2,0,f,other,1,43,5.0,11,1,0,46,1
1969,20258,Analytics,region_29,0,m,sourcing,1,28,5.0,2,1,0,83,0
1984,34143,Sales & Marketing,region_7,0,m,sourcing,1,22,,1,1,0,49,0
1999,5510,Operations,region_15,0,m,sourcing,1,34,5.0,8,0,0,61,0
2022,37617,Sales & Marketing,region_23,0,m,other,1,39,5.0,13,1,0,52,0
2039,500,Sales & Marketing,region_2,0,m,sourcing,1,20,,1,0,0,53,0
2043,28801,Sales & Marketing,region_15,0,m,sourcing,1,29,1.0,2,0,0,49,0
2134,17781,Sales & Marketing,region_31,0,m,other,1,23,,1,1,0,47,1
2139,68499,Operations,region_7,0,m,sourcing,1,35,4.0,2,0,1,71,1
2167,13605,Operations,region_2,0,m,other,1,25,,1,0,0,58,0
2204,63866,Analytics,region_15,0,m,other,2,28,3.0,3,0,0,85,0
2207,58555,Operations,region_2,0,f,sourcing,1,33,3.0,7,0,0,61,0
2240,6163,Sales & Marketing,region_7,0,f,sourcing,2,26,1.0,3,0,0,54,0
2259,25101,Sales & Marketing,region_11,0,m,other,1,37,4.0,10,1,0,48,0
2267,74407,Sales & Marketing,region_26,0,m,other,1,30,1.0,3,0,0,51,0
2273,55331,Analytics,region_22,0,m,other,1,28,2.0,2,1,0,85,0
2286,14427,Sales & Marketing,region_2,0,f,other,1,23,4.0,2,0,0,52,0
2303,68686,Sales & Marketing,region_7,0,m,other,1,31,5.0,7,1,0,48,0
2311,34435,Analytics,region_22,0,f,sourcing,1,26,3.0,2,1,0,87,0
2333,48212,Analytics,region_26,0,m,other,1,28,,1,0,0,81,0
2346,16486,Sales & Marketing,region_32,0,m,sourcing,1,30,2.0,4,0,0,51,0
2353,1103,Sales & Marketing,region_11,0,m,other,1,30,4.0,7,1,0,50,0
2360,22835,Operations,region_2,0,f,other,1,41,4.0,3,0,0,63,0
2376,21396,Sales & Marketing,region_2,0,m,other,1,38,1.0,4,1,0,49,0
2407,7900,Sales & Marketing,region_2,0,m,other,1,49,5.0,5,0,0,49,0
2448,45563,Analytics,region_22,0,m,sourcing,1,28,,1,0,0,86,0
2465,28507,Sales & Marketing,region_7,0,m,sourcing,1,36,4.0,2,1,0,50,0
2488,24084,Sales & Marketing,region_16,0,m,other,2,36,3.0,3,0,0,54,0
2506,61176,Analytics,region_2,0,m,other,1,29,,1,0,0,85,0
2515,29592,Operations,region_2,0,f,sourcing,1,55,3.0,8,0,0,59,0
2530,69680,Sales & Marketing,region_14,0,m,other,2,23,3.0,2,1,0,51,1
2539,68972,Sales & Marketing,region_15,0,m,sourcing,1,32,1.0,4,0,0,49,0
2558,13681,Analytics,region_2,0,m,other,2,25,,1,0,0,89,0
2559,43738,Sales & Marketing,region_2,0,f,other,1,20,,1,0,0,48,0
2569,25266,Finance,region_2,0,m,other,1,39,5.0,5,1,0,57,0
2575,52590,Finance,region_22,0,m,other,1,27,3.0,3,0,0,58,0
2581,68416,Sales & Marketing,region_28,0,m,other,1,28,,1,0,0,67,1
2597,2563,Sales & Marketing,region_2,0,m,other,1,60,4.0,6,0,0,52,0
2599,37504,Sales & Marketing,region_28,0,m,sourcing,1,29,3.0,5,0,0,48,0
2617,6024,Analytics,region_28,0,m,other,1,27,3.0,1,0,0,82,0
2619,32547,Sales & Marketing,region_22,0,m,sourcing,1,26,3.0,2,0,0,51,0
2645,64156,Sales & Marketing,region_2,0,f,other,1,51,2.0,24,0,0,48,0
2707,27835,Sales & Marketing,region_7,0,m,other,1,25,3.0,3,1,0,48,1
2728,51993,Sales & Marketing,region_7,0,m,sourcing,1,25,5.0,2,1,0,52,0
2756,12155,Sales & Marketing,region_7,0,m,other,2,25,,1,0,0,49,0
2779,20815,Sales & Marketing,region_15,0,m,other,1,31,3.0,4,1,0,47,0
2799,7972,Analytics,region_32,0,m,sourcing,1,30,5.0,4,1,0,82,1
2808,27895,Sales & Marketing,region_28,0,m,other,1,27,2.0,2,0,0,52,0
2825,13517,Sales & Marketing,region_7,0,m,other,1,23,1.0,2,0,0,49,0
2847,44302,Sales & Marketing,region_2,0,m,other,1,34,3.0,9,0,0,48,0
2860,69141,Sales & Marketing,region_15,0,m,other,1,31,3.0,5,0,0,45,0
2876,28752,Analytics,region_22,0,m,sourcing,1,29,3.0,5,0,0,80,0
3004,54827,Sales & Marketing,region_28,0,m,other,1,36,2.0,4,0,0,48,0
3023,26382,Sales & Marketing,region_2,0,m,referred,1,25,5.0,2,0,0,46,0
3029,20601,Analytics,region_2,0,m,sourcing,1,28,5.0,8,0,0,87,0
3034,8860,Sales & Marketing,region_7,0,m,other,2,25,5.0,2,1,0,44,0
3053,28602,Analytics,region_22,0,m,sourcing,2,27,3.0,2,0,0,83,0
3059,15514,Sales & Marketing,region_2,0,m,other,1,32,4.0,7,0,0,50,0
3086,49626,Analytics,region_2,0,m,sourcing,1,32,5.0,5,0,0,85,0
3104,19081,Sales & Marketing,region_2,0,m,other,1,58,1.0,17,0,0,53,0
3112,37198,Sales & Marketing,region_2,0,f,other,1,23,3.0,1,0,0,46,0
3143,20980,Sales & Marketing,region_31,0,m,other,1,34,3.0,4,0,0,51,0
3156,10471,Sales & Marketing,region_32,0,m,sourcing,1,34,3.0,5,0,0,46,0
3198,22416,Analytics,region_2,0,m,sourcing,1,26,5.0,5,1,0,84,0
3222,3319,Analytics,region_2,0,m,other,1,25,5.0,2,1,0,86,0
3269,48119,Procurement,region_2,0,f,sourcing,1,47,5.0,7,1,0,72,0
3277,65087,Sales & Marketing,region_25,0,m,other,2,24,3.0,2,0,0,50,0
3295,33573,Operations,region_15,0,f,other,1,31,5.0,3,1,0,66,0
3326,47285,R&D,region_2,0,m,other,1,25,4.0,2,0,0,85,0
3332,69913,Analytics,region_22,0,m,other,1,28,3.0,4,0,0,88,1
3342,37799,Sales & Marketing,region_15,0,m,other,1,35,3.0,9,0,0,49,0
3354,35346,Analytics,region_2,0,m,other,2,38,4.0,4,0,0,87,0
3419,55620,Sales & Marketing,region_2,0,f,other,1,30,,1,1,0,48,0
3451,44501,Sales & Marketing,region_2,0,m,sourcing,1,24,1.0,3,1,0,50,1
3496,38601,Sales & Marketing,region_2,0,m,other,1,53,2.0,23,0,0,53,0
3500,13765,Finance,region_2,0,f,other,1,33,4.0,6,0,0,54,0
3504,45776,Sales & Marketing,region_32,0,m,sourcing,1,24,,1,0,0,51,0
3507,46368,Sales & Marketing,region_32,0,m,other,1,27,,1,0,0,51,0
3520,7292,Sales & Marketing,region_2,0,m,other,2,48,1.0,15,0,0,48,0
3528,4708,Finance,region_32,0,m,sourcing,1,30,3.0,3,0,0,57,0
3529,46014,Sales & Marketing,region_2,0,m,other,1,26,2.0,2,0,0,54,0
3536,14090,Sales & Marketing,region_2,0,f,other,1,32,3.0,7,0,0,50,0
3558,47523,Sales & Marketing,region_2,0,f,sourcing,1,26,,1,1,0,55,0
3586,11167,Sales & Marketing,region_16,0,m,other,1,22,3.0,2,0,0,52,0
3593,24100,Analytics,region_32,0,m,other,2,30,3.0,2,0,0,85,0
3599,45045,Sales & Marketing,region_26,0,f,sourcing,1,24,4.0,2,0,0,50,0
3607,22215,R&D,region_2,0,m,other,2,25,,1,0,0,84,0
3616,61642,Sales & Marketing,region_15,0,m,other,2,31,3.0,5,0,0,53,0
3634,24481,Analytics,region_2,0,m,other,1,36,1.0,3,0,0,88,0
3738,40412,Sales & Marketing,region_22,0,m,sourcing,1,28,4.0,6,1,0,46,0
3753,69489,R&D,region_27,0,m,other,1,27,1.0,4,0,0,80,0
3763,15773,Sales & Marketing,region_2,0,f,sourcing,1,25,,1,1,1,92,1
3769,44444,Sales & Marketing,region_2,0,m,sourcing,1,46,3.0,6,0,0,52,0
3795,4071,Sales & Marketing,region_2,0,f,other,1,22,,1,1,1,51,0
3796,38571,Sales & Marketing,region_31,0,f,sourcing,1,29,4.0,4,0,1,53,0
3827,21295,Sales & Marketing,region_9,0,m,sourcing,1,28,,1,1,0,54,0
3841,11286,Sales & Marketing,region_2,0,m,other,2,50,1.0,23,0,0,52,0
3845,60773,Analytics,region_10,0,m,sourcing,1,28,5.0,3,1,0,86,1
3851,36233,Sales & Marketing,region_7,0,m,sourcing,1,25,3.0,2,0,1,68,1
3859,71530,Sales & Marketing,region_7,0,m,sourcing,1,25,4.0,5,0,0,53,0
3860,19085,Operations,region_26,0,f,sourcing,1,28,3.0,5,0,0,54,0
3863,18631,Operations,region_26,0,m,other,1,29,5.0,5,1,0,59,0
3864,13323,Sales & Marketing,region_7,0,m,other,1,30,,1,1,0,49,1
3901,17115,Sales & Marketing,region_13,0,m,other,1,24,,1,0,0,52,0
3928,72630,Sales & Marketing,region_26,0,m,sourcing,1,36,4.0,6,0,0,49,0
3939,16097,Sales & Marketing,region_22,0,m,sourcing,2,24,,1,0,0,51,0
4044,27937,Sales & Marketing,region_32,0,m,sourcing,1,33,5.0,4,0,0,48,0
4052,66035,Sales & Marketing,region_2,0,m,sourcing,2,24,1.0,2,0,0,46,0
4100,13766,Sales & Marketing,region_10,0,m,sourcing,1,28,4.0,2,0,0,48,0
4130,17238,Procurement,region_2,0,f,other,2,36,3.0,10,0,0,71,0
4143,36029,Sales & Marketing,region_15,0,m,sourcing,1,30,3.0,6,0,0,45,0
4144,49931,Sales & Marketing,region_26,0,m,sourcing,1,33,3.0,4,0,0,50,0
4161,42869,Analytics,region_15,0,m,other,1,31,2.0,3,0,1,83,0
4180,43998,Sales & Marketing,region_15,0,m,other,1,42,3.0,13,0,0,52,0
4207,35356,Sales & Marketing,region_22,0,m,sourcing,1,21,,1,1,0,52,1
4226,69669,Sales & Marketing,region_26,0,m,other,1,29,5.0,4,0,0,50,0
4243,66613,Sales & Marketing,region_13,0,m,other,1,33,1.0,4,1,1,52,0
4256,49246,Sales & Marketing,region_2,0,m,sourcing,1,31,3.0,4,0,0,53,0
4269,33603,Sales & Marketing,region_15,0,m,sourcing,1,30,1.0,7,0,0,48,0
4412,41900,Sales & Marketing,region_2,0,m,other,2,25,3.0,2,0,0,53,0
4455,16453,Sales & Marketing,region_22,0,m,other,1,24,1.0,5,1,0,48,0
4464,70323,Sales & Marketing,region_2,0,m,sourcing,1,33,3.0,7,0,0,50,0
4472,43321,Analytics,region_22,0,f,sourcing,1,26,3.0,3,1,0,80,0
4486,4343,Sales & Marketing,region_2,0,m,other,1,52,2.0,23,0,0,48,0
4545,59101,Technology,region_9,0,m,other,1,27,,1,0,0,80,0
4551,26963,Sales & Marketing,region_2,0,m,sourcing,1,35,1.0,6,0,0,49,0
4595,43207,Sales & Marketing,region_7,0,m,other,1,26,2.0,2,0,0,55,0
4605,17922,Sales & Marketing,region_2,0,m,sourcing,2,50,3.0,18,0,0,46,0
4645,8559,Sales & Marketing,region_26,0,m,other,1,28,3.0,4,0,0,49,0
4653,63717,Sales & Marketing,region_27,0,m,other,1,31,2.0,6,0,0,50,0
4680,34447,Operations,region_2,0,f,sourcing,1,30,4.0,5,1,0,56,0
4705,21270,Sales & Marketing,region_28,0,m,other,1,23,4.0,2,0,0,46,0
4751,5768,Operations,region_22,0,m,other,1,24,,1,1,0,65,0
4772,64676,Technology,region_27,0,m,sourcing,1,28,5.0,4,0,0,91,1
4774,36787,Sales & Marketing,region_2,0,f,other,1,36,2.0,4,0,0,50,0
4777,23419,Analytics,region_32,0,f,sourcing,1,29,3.0,2,0,0,87,0
4789,42793,Sales & Marketing,region_2,0,m,other,1,21,3.0,2,0,1,64,1
4796,56457,Sales & Marketing,region_1,0,m,sourcing,1,29,3.0,6,0,0,47,0
4807,14892,Analytics,region_22,0,m,other,1,28,3.0,3,0,0,81,0
4828,20096,Analytics,region_22,0,m,other,1,27,4.0,3,0,0,83,0
4874,557,Sales & Marketing,region_26,0,m,other,1,26,,1,0,0,52,0
4877,2830,Sales & Marketing,region_22,0,m,sourcing,1,25,3.0,3,0,0,48,0
4884,43216,Analytics,region_10,0,m,sourcing,1,28,5.0,3,1,0,85,0
4900,37379,Sales & Marketing,region_2,0,m,other,4,25,,1,0,0,47,0
4930,62673,Sales & Marketing,region_28,0,m,sourcing,1,26,,1,0,0,45,0
4949,50502,Sales & Marketing,region_2,0,m,other,1,22,,1,1,0,52,0
4951,26356,Sales & Marketing,region_26,0,m,other,1,23,,1,0,0,46,0
4985,22712,Sales & Marketing,region_32,0,f,other,1,29,,1,0,0,50,0
4993,50195,Sales & Marketing,region_14,0,m,sourcing,1,23,1.0,2,0,0,53,0
5017,9749,Sales & Marketing,region_7,0,f,other,1,24,4.0,2,1,0,53,1
5027,35098,R&D,region_22,0,m,other,1,31,4.0,5,1,0,82,0
5044,57492,Sales & Marketing,region_21,0,m,sourcing,1,30,2.0,5,0,0,47,0
5141,6040,Sales & Marketing,region_13,0,m,other,1,22,,1,0,0,50,0
5160,55190,Finance,region_2,0,m,sourcing,1,31,1.0,2,0,0,63,0
5161,60903,HR,region_2,0,f,sourcing,1,34,3.0,7,0,0,48,0
5182,51955,Sales & Marketing,region_7,0,f,other,1,25,,1,0,0,52,0
5194,10189,Analytics,region_2,0,m,other,1,35,5.0,5,1,0,82,0
5232,67764,Sales & Marketing,region_2,0,m,other,1,28,5.0,3,0,0,51,0
5275,75707,Sales & Marketing,region_31,0,m,other,1,31,5.0,6,1,0,45,0
5277,11487,Sales & Marketing,region_2,0,m,other,2,31,3.0,6,0,0,51,0
5302,75857,Sales & Marketing,region_7,0,m,sourcing,1,24,1.0,2,1,1,50,0
5308,38895,Analytics,region_22,0,m,other,2,26,,1,1,0,85,0
5323,24570,Sales & Marketing,region_2,0,m,other,1,23,,1,0,0,49,0
5357,10510,Sales & Marketing,region_31,0,m,sourcing,1,27,1.0,6,0,0,45,0
5365,42456,Sales & Marketing,region_27,0,m,other,1,39,3.0,7,0,0,53,0
5383,136,Sales & Marketing,region_22,0,m,other,3,28,1.0,2,0,0,50,0
5400,39242,Sales & Marketing,region_31,0,f,other,1,27,3.0,3,0,0,50,0
5437,36010,Operations,region_15,0,f,other,1,33,1.0,7,0,0,57,0
5448,33955,Sales & Marketing,region_15,0,m,other,1,20,1.0,2,0,0,53,0
5472,53890,Sales & Marketing,region_5,0,m,other,1,23,5.0,2,1,0,50,0
5476,20819,Sales & Marketing,region_7,0,m,other,1,32,4.0,8,0,0,50,0
5485,3410,Sales & Marketing,region_2,0,f,sourcing,1,38,2.0,2,0,0,51,0
5535,3551,Finance,region_2,0,f,sourcing,1,27,3.0,2,0,0,64,0
5537,44006,Sales & Marketing,region_2,0,f,other,2,40,3.0,8,0,0,52,0
5541,45084,Sales & Marketing,region_22,0,m,other,1,25,2.0,3,0,0,54,0
5550,77342,Sales & Marketing,region_31,0,m,sourcing,1,23,,1,0,0,47,0
5556,37292,Sales & Marketing,region_2,0,f,sourcing,1,31,5.0,4,1,0,49,0
5615,53072,Analytics,region_28,0,m,other,1,35,3.0,6,0,0,87,0
5627,19510,Sales & Marketing,region_2,0,m,other,1,34,4.0,8,1,0,58,1
5638,71079,Analytics,region_30,0,m,sourcing,1,28,2.0,2,0,0,84,0
5639,39621,Sales & Marketing,region_2,0,m,other,1,25,1.0,3,0,0,53,0
5640,4608,Sales & Marketing,region_15,0,m,other,1,35,5.0,9,0,0,47,0
5700,64649,Operations,region_27,0,m,sourcing,1,26,3.0,3,0,0,59,0
5704,6220,Operations,region_22,0,m,other,1,29,5.0,4,0,0,63,0
5757,9177,Sales & Marketing,region_2,0,m,sourcing,1,38,2.0,3,1,0,49,0
5773,65881,Sales & Marketing,region_2,0,m,sourcing,1,36,2.0,4,0,0,48,0
5788,39160,Sales & Marketing,region_25,0,m,other,1,32,3.0,10,0,0,48,0
5800,61983,Sales & Marketing,region_2,0,m,sourcing,1,49,3.0,4,0,0,48,0
5837,55445,Sales & Marketing,region_2,0,m,sourcing,1,20,,1,0,0,47,0
5858,27030,Sales & Marketing,region_2,0,m,other,1,42,4.0,2,1,0,47,0
5859,65665,Sales & Marketing,region_27,0,m,sourcing,1,30,3.0,3,0,0,51,0
5878,42088,Sales & Marketing,region_26,0,f,sourcing,1,24,,1,0,0,49,0
5889,33087,Sales & Marketing,region_2,0,m,other,1,23,,1,0,0,49,0
5906,70670,Operations,region_2,0,f,other,1,50,3.0,3,1,0,55,1
5922,33796,Sales & Marketing,region_23,0,m,other,1,37,3.0,8,0,0,47,0
5997,65861,Sales & Marketing,region_2,0,m,other,1,43,5.0,11,1,0,51,1
6007,46176,Sales & Marketing,region_2,0,m,sourcing,1,28,3.0,2,1,1,47,0
6015,59243,Analytics,region_9,0,m,other,1,30,3.0,4,0,0,86,0
6019,19181,Sales & Marketing,region_9,0,m,sourcing,1,28,3.0,3,0,0,52,0
6063,64473,R&D,region_22,0,m,other,1,30,3.0,4,0,0,84,0
6074,74874,Sales & Marketing,region_25,0,m,sourcing,1,27,3.0,3,0,0,49,0
6086,29223,Sales & Marketing,region_31,0,m,other,1,27,3.0,3,0,0,47,0
6115,11210,Sales & Marketing,region_2,0,f,other,1,21,4.0,1,0,0,51,0
6135,14050,Operations,region_32,0,f,other,1,29,5.0,2,1,0,57,0
6181,20289,Sales & Marketing,region_9,0,m,other,1,27,3.0,4,0,0,52,0
6188,64879,Sales & Marketing,region_2,0,m,sourcing,1,22,3.0,2,0,0,52,0
6222,73949,Operations,region_2,0,f,other,1,31,3.0,9,0,0,62,0
6296,37355,Sales & Marketing,region_32,0,m,other,2,24,3.0,3,1,0,58,0
6305,4785,Sales & Marketing,region_2,0,m,other,1,22,4.0,2,1,0,52,0
6334,57993,Sales & Marketing,region_2,0,f,other,1,24,3.0,2,0,0,52,0
6346,57862,Sales & Marketing,region_2,0,f,sourcing,1,28,4.0,6,0,0,52,0
6359,71399,Finance,region_30,0,f,other,1,28,5.0,3,1,0,63,0
6402,22691,Analytics,region_7,0,m,sourcing,1,29,5.0,3,0,0,87,1
6429,24606,Analytics,region_31,0,m,other,1,29,,1,1,0,84,0
6438,70792,Sales & Marketing,region_28,0,m,other,2,34,3.0,4,0,0,49,0
6439,23016,Sales & Marketing,region_22,0,m,sourcing,1,25,5.0,3,1,0,55,0
6481,28106,Sales & Marketing,region_6,0,m,other,1,23,,1,0,0,52,0
6535,72820,Sales & Marketing,region_7,0,m,other,1,28,3.0,4,0,0,46,0
6543,7694,Sales & Marketing,region_22,0,f,other,1,27,1.0,3,0,0,46,0
6562,40802,Technology,region_2,0,f,other,1,35,4.0,3,1,0,81,0
6582,9597,Technology,region_15,0,m,other,1,34,1.0,11,0,0,79,0
6587,73307,Operations,region_27,0,m,other,1,27,4.0,3,0,0,64,0
6622,40703,Sales & Marketing,region_28,0,m,other,1,26,4.0,4,0,0,42,0
6687,30440,Sales & Marketing,region_22,0,m,other,2,27,2.0,5,0,0,46,0
6722,25271,Sales & Marketing,region_22,0,m,other,1,30,5.0,4,1,0,47,0
6723,27083,Sales & Marketing,region_7,0,m,sourcing,3,25,3.0,1,0,0,45,0
6767,21192,Sales & Marketing,region_19,0,m,other,1,34,4.0,7,0,0,53,0
