,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
734,63955,Sales & Marketing,region_23,Bachelor's,m,sourcing,1,26,3,1,0,0,47,0
746,69785,HR,region_2,Bachelor's,f,other,1,28,5,1,0,0,43,0
771,36231,Finance,region_2,Below Secondary,m,sourcing,2,25,3,1,1,0,60,0
778,41187,Sales & Marketing,region_27,Bachelor's,m,sourcing,6,27,3,1,0,0,58,0
786,60503,Sales & Marketing,region_29,Bachelor's,m,other,1,30,5,1,1,0,47,0
793,34642,Sales & Marketing,region_2,,m,sourcing,1,23,3,1,0,0,44,0
803,49548,Sales & Marketing,region_25,Bachelor's,m,other,1,28,3,1,0,0,46,0
812,21474,Analytics,region_20,Bachelor's,m,sourcing,1,30,3,1,0,0,84,0
852,62522,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,28,3,1,0,0,47,0
857,74603,Analytics,region_22,Bachelor's,m,sourcing,2,28,3,1,1,0,89,0
859,31495,Procurement,region_2,Below Secondary,f,other,3,22,3,1,0,0,66,0
863,47809,Sales & Marketing,region_2,Bachelor's,m,referred,1,30,5,1,1,0,50,0
877,25881,Finance,region_4,Bachelor's,m,sourcing,1,29,5,1,1,0,55,0
878,24309,Legal,region_2,Bachelor's,f,other,1,32,5,1,0,0,63,0
887,53048,Analytics,region_31,,m,other,1,27,3,1,0,0,91,0
898,35011,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,27,3,1,0,0,47,0
899,7977,Legal,region_2,Bachelor's,m,sourcing,1,30,3,1,0,0,63,0
903,66596,Sales & Marketing,region_25,,m,other,1,26,3,1,0,0,51,0
925,18409,Analytics,region_28,Bachelor's,m,sourcing,3,28,5,1,1,0,78,0
932,36420,Procurement,region_22,Bachelor's,m,sourcing,1,28,5,1,1,0,72,0
950,73959,HR,region_2,Below Secondary,f,sourcing,1,20,3,1,0,0,47,0
957,59614,Sales & Marketing,region_25,Bachelor's,m,other,1,27,5,1,1,0,53,0
964,986,Technology,region_26,Bachelor's,f,sourcing,1,26,3,1,0,0,79,0
974,710,Analytics,region_22,Bachelor's,m,other,1,28,5,1,1,0,86,1
1003,1595,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,28,5,1,1,0,49,0
1026,32181,Technology,region_19,Bachelor's,m,sourcing,1,27,3,1,1,0,77,0
1030,69759,Analytics,region_29,Bachelor's,m,sourcing,1,25,3,1,0,0,88,0
1085,69540,Technology,region_5,Bachelor's,f,sourcing,1,24,3,1,0,0,81,1
1100,62098,Legal,region_2,Bachelor's,m,sourcing,1,30,3,1,0,0,63,0
1114,55461,Operations,region_15,Bachelor's,m,other,1,24,3,1,0,0,59,0
1115,22781,Technology,region_6,Bachelor's,m,sourcing,1,28,4,1,1,0,76,0
1119,37770,Sales & Marketing,region_31,,m,sourcing,1,24,3,1,0,0,53,0
1131,35365,Sales & Marketing,region_14,Bachelor's,m,other,1,26,3,1,0,0,47,0
1139,57220,Sales & Marketing,region_14,,m,sourcing,1,25,3,1,0,0,51,0
1151,76197,Sales & Marketing,region_24,Master's & above,m,other,1,33,3,1,0,0,48,0
1167,69466,Procurement,region_15,Bachelor's,m,sourcing,1,28,3,1,0,0,71,0
1169,36805,Analytics,region_29,,m,sourcing,1,30,5,1,1,0,85,0
1170,55333,R&D,region_22,Master's & above,m,other,2,28,3,1,0,0,87,0
1179,63292,Procurement,region_22,Bachelor's,m,sourcing,1,26,4,1,0,0,80,1
1182,52397,Operations,region_22,Below Secondary,m,sourcing,1,22,3,1,0,0,58,0
1188,63434,Sales & Marketing,region_22,,f,other,2,23,4,1,0,0,43,0
1199,35070,Finance,region_22,Below Secondary,m,sourcing,1,24,3,1,0,0,61,0
1202,19919,Analytics,region_22,Bachelor's,m,other,1,20,5,1,1,0,84,0
1203,45230,Legal,region_22,Bachelor's,m,other,1,29,3,1,0,0,62,0
1209,70680,HR,region_22,Bachelor's,m,sourcing,1,28,3,1,1,0,51,1
1245,44874,Sales & Marketing,region_15,Bachelor's,m,other,1,28,3,1,0,0,49,0
1253,21820,Technology,region_2,Bachelor's,f,sourcing,1,30,4,1,1,0,80,0
1319,17372,Sales & Marketing,region_20,Master's & above,m,other,1,30,3,1,0,0,46,0
1347,38668,Sales & Marketing,region_22,Bachelor's,f,other,1,26,3,1,0,0,51,0
1362,3809,Technology,region_3,Bachelor's,m,sourcing,1,26,4,1,1,0,81,0
1397,21213,Procurement,region_13,Bachelor's,m,other,1,28,5,1,1,0,68,0
1413,39147,Sales & Marketing,region_16,,m,sourcing,2,23,3,1,0,0,50,0
1455,1234,Technology,region_2,Below Secondary,m,other,3,23,3,1,0,0,82,1
1498,48935,Sales & Marketing,region_22,Bachelor's,f,other,1,28,3,1,0,0,46,0
1511,39223,Operations,region_2,Below Secondary,m,other,1,23,3,1,0,0,62,0
1523,42612,HR,region_7,Bachelor's,f,other,1,25,5,1,1,0,50,0
1526,46119,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,27,5,1,1,0,46,0
1551,51689,Sales & Marketing,region_30,Bachelor's,f,sourcing,1,33,1,1,0,0,49,0
1559,73283,Analytics,region_22,,m,other,1,25,3,1,0,0,87,0
1591,50560,Sales & Marketing,region_2,,m,sourcing,2,24,3,1,0,0,54,0
1607,38353,HR,region_6,Bachelor's,m,sourcing,1,24,3,1,0,0,50,0
1632,76331,HR,region_2,Below Secondary,f,sourcing,1,22,3,1,0,0,49,0
1643,51411,Sales & Marketing,region_22,,m,sourcing,1,23,3,1,0,0,49,0
1650,2703,Procurement,region_2,Below Secondary,m,other,1,26,3,1,0,0,69,0
1687,10674,Operations,region_22,Bachelor's,f,other,2,28,5,1,1,0,61,0
1689,33939,Sales & Marketing,region_22,Bachelor's,f,other,1,29,5,1,1,0,55,0
1691,37118,Sales & Marketing,region_15,Bachelor's,m,sourcing,1,25,3,1,0,0,48,0
1693,22271,Sales & Marketing,region_2,Bachelor's,f,sourcing,1,28,3,1,0,0,52,0
1695,8846,Operations,region_22,Below Secondary,f,sourcing,2,23,5,1,1,0,60,0
1698,16401,Finance,region_22,Bachelor's,m,sourcing,2,25,3,1,0,0,59,0
1713,13112,Operations,region_26,Bachelor's,m,sourcing,1,24,3,1,0,0,59,0
1725,25052,Procurement,region_27,Bachelor's,m,other,2,28,5,1,1,0,71,1
1735,61764,Sales & Marketing,region_7,Bachelor's,m,other,1,25,3,1,0,0,47,0
1740,45200,Analytics,region_2,Bachelor's,m,sourcing,2,30,3,1,0,0,86,0
1748,48958,Sales & Marketing,region_13,,m,other,1,29,3,1,0,0,47,0
1772,11430,Sales & Marketing,region_8,Bachelor's,m,other,1,40,5,1,1,0,50,0
1776,58815,Sales & Marketing,region_2,Bachelor's,m,other,1,24,5,1,1,0,51,0
1788,39208,Operations,region_2,Below Secondary,f,sourcing,1,24,3,1,0,0,54,0
1791,62507,Finance,region_2,Bachelor's,m,other,1,23,3,1,0,0,63,0
1820,75421,Sales & Marketing,region_24,Bachelor's,m,other,1,28,3,1,0,0,52,0
1864,43633,Procurement,region_2,Bachelor's,m,other,1,26,3,1,0,0,69,0
1868,29435,Analytics,region_22,,m,sourcing,2,22,3,1,0,0,84,0
1885,7456,Sales & Marketing,region_1,,m,other,1,28,3,1,0,0,48,0
1894,34331,Operations,region_12,Bachelor's,f,other,1,27,5,1,1,0,50,0
1912,61283,Analytics,region_32,Bachelor's,m,sourcing,1,27,3,1,0,0,85,0
1921,14085,Sales & Marketing,region_16,,m,sourcing,1,22,5,1,0,0,61,1
1930,30181,Operations,region_31,Bachelor's,m,other,1,25,3,1,0,0,58,0
1945,7569,Sales & Marketing,region_7,Bachelor's,m,sourcing,2,24,3,1,0,0,48,0
1956,49141,Analytics,region_26,Bachelor's,m,other,1,28,3,1,0,0,86,0
1960,63389,Legal,region_22,Bachelor's,m,other,1,31,3,1,0,0,57,0
1977,51084,Sales & Marketing,region_22,Bachelor's,m,other,2,29,3,1,0,0,55,0
1984,34143,Sales & Marketing,region_7,,m,sourcing,1,22,5,1,1,0,49,0
2025,68449,Sales & Marketing,region_22,Bachelor's,m,other,2,20,3,1,0,0,48,0
2033,56521,Technology,region_31,Bachelor's,m,other,1,26,4,1,1,0,78,0
2034,27993,HR,region_22,Bachelor's,m,other,1,28,3,1,0,0,47,0
2039,500,Sales & Marketing,region_2,,m,sourcing,1,20,3,1,0,0,53,0
2054,40229,Procurement,region_7,Below Secondary,f,sourcing,1,25,5,1,1,0,71,0
2063,49214,Procurement,region_2,Bachelor's,f,sourcing,1,29,3,1,0,0,71,0
2067,33066,Technology,region_1,Bachelor's,f,other,1,29,3,1,0,0,79,0
2107,31286,Sales & Marketing,region_7,Bachelor's,f,other,1,24,5,1,1,0,47,1
2109,27841,Sales & Marketing,region_26,Bachelor's,m,other,1,26,3,1,0,0,53,0
2122,41956,Finance,region_2,Below Secondary,m,other,2,21,3,1,0,0,60,0
2123,24973,Analytics,region_15,Bachelor's,m,other,2,25,3,1,0,0,87,0
2134,17781,Sales & Marketing,region_31,,m,other,1,23,5,1,1,0,47,1
2147,50774,R&D,region_22,Bachelor's,m,sourcing,1,28,3,1,0,0,88,0
2162,5117,Sales & Marketing,region_13,Bachelor's,f,other,1,27,3,1,0,0,47,0
2166,42345,Technology,region_28,Bachelor's,m,other,1,29,3,1,0,0,76,0
2167,13605,Operations,region_2,,m,other,1,25,3,1,0,0,58,0
2180,49603,Sales & Marketing,region_22,Bachelor's,m,other,1,27,5,1,1,0,47,0
2185,33095,Analytics,region_23,Bachelor's,m,sourcing,2,28,4,1,0,0,79,0
2212,35168,Operations,region_22,Bachelor's,m,other,1,25,4,1,1,1,57,0
2225,19691,Operations,region_7,Bachelor's,f,sourcing,1,28,3,1,0,0,56,0
2231,56174,Technology,region_2,Bachelor's,m,referred,2,26,5,1,1,0,82,0
2251,12042,Procurement,region_2,Below Secondary,m,sourcing,1,20,5,1,1,0,74,0
2269,40298,HR,region_22,Below Secondary,f,sourcing,1,23,1,1,0,0,53,0
2277,51555,Technology,region_16,Bachelor's,m,other,1,28,3,1,0,0,82,0
2301,27131,Procurement,region_31,Bachelor's,f,sourcing,3,28,5,1,1,0,70,0
2306,8168,Sales & Marketing,region_32,Bachelor's,m,other,1,25,5,1,1,0,53,0
2315,64196,Sales & Marketing,region_21,Bachelor's,m,other,1,24,3,1,0,0,56,0
2330,16005,Sales & Marketing,region_27,Bachelor's,m,other,2,23,3,1,0,0,48,0
2333,48212,Analytics,region_26,,m,other,1,28,3,1,0,0,81,0
2352,72723,Sales & Marketing,region_22,Bachelor's,f,other,1,27,3,1,0,0,49,0
2364,15697,Procurement,region_17,Bachelor's,f,referred,1,27,4,1,0,1,70,0
2367,27412,Sales & Marketing,region_15,Bachelor's,m,other,1,25,5,1,1,0,50,0
2369,5800,Technology,region_16,Below Secondary,m,other,1,22,3,1,0,0,81,0
2388,17096,Operations,region_2,Bachelor's,m,sourcing,4,26,3,1,0,0,59,0
2396,38622,Operations,region_7,Bachelor's,f,sourcing,1,31,3,1,0,0,61,0
2414,75144,Sales & Marketing,region_31,Bachelor's,f,other,1,24,1,1,0,0,50,0
2432,6409,Technology,region_15,Bachelor's,m,sourcing,1,24,3,1,0,0,84,0
2443,70995,Analytics,region_2,Bachelor's,m,sourcing,1,27,5,1,1,0,87,0
2448,45563,Analytics,region_22,,m,sourcing,1,28,3,1,0,0,86,0
2458,49026,Sales & Marketing,region_16,Bachelor's,m,other,1,29,3,1,0,0,51,0
2483,24452,Analytics,region_22,Bachelor's,m,other,2,27,3,1,0,0,87,0
2506,61176,Analytics,region_2,,m,other,1,29,3,1,0,0,85,0
2510,6470,Analytics,region_7,Bachelor's,f,other,2,28,5,1,1,0,85,1
2523,32300,Technology,region_27,Bachelor's,m,sourcing,2,24,3,1,0,0,77,0
2540,12457,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,27,5,1,1,0,50,0
2552,31100,Procurement,region_21,Bachelor's,m,other,1,29,3,1,0,0,70,0
2558,13681,Analytics,region_2,,m,other,2,25,3,1,0,0,89,0
2559,43738,Sales & Marketing,region_2,,f,other,1,20,3,1,0,0,48,0
2563,66767,Technology,region_22,Bachelor's,f,other,1,28,3,1,0,0,80,0
2568,43772,Operations,region_22,Bachelor's,m,referred,1,28,5,1,1,0,58,0
2571,65856,Operations,region_30,Bachelor's,m,sourcing,1,27,5,1,1,0,59,0
2581,68416,Sales & Marketing,region_28,,m,other,1,28,3,1,0,0,67,1
2592,76403,Technology,region_23,Bachelor's,f,sourcing,1,30,3,1,0,0,79,0
2596,30968,Sales & Marketing,region_23,Bachelor's,m,sourcing,1,30,3,1,0,0,49,0
2605,27648,Technology,region_20,Bachelor's,m,sourcing,1,30,4,1,1,0,84,1
2612,60691,Finance,region_13,Bachelor's,m,other,2,28,3,1,0,0,58,0
2614,21577,Procurement,region_5,Bachelor's,f,other,2,28,3,1,0,0,67,0
2648,34969,Legal,region_22,Bachelor's,m,referred,1,29,4,1,0,0,60,0
2701,45066,Finance,region_7,Bachelor's,f,other,1,24,3,1,1,0,58,0
2709,77551,Analytics,region_9,Bachelor's,m,other,1,27,3,1,0,0,88,0
2743,31092,Procurement,region_16,Bachelor's,f,other,1,25,3,1,0,0,71,0
2748,45990,Operations,region_7,Bachelor's,m,other,1,26,3,1,0,0,56,0
2754,11503,Technology,region_2,Bachelor's,f,sourcing,1,29,3,1,0,0,81,0
2755,77736,Procurement,region_2,Bachelor's,m,other,3,26,3,1,0,0,67,0
2756,12155,Sales & Marketing,region_7,,m,other,2,25,3,1,0,0,49,0
2767,26902,Finance,region_6,Bachelor's,f,sourcing,1,26,3,1,0,0,58,0
2783,59941,R&D,region_22,Master's & above,m,sourcing,1,28,5,1,1,0,85,1
2788,19552,Technology,region_6,Bachelor's,f,other,1,28,4,1,1,0,82,0
2789,50298,Procurement,region_22,Bachelor's,m,sourcing,2,28,3,1,0,0,69,0
2793,34921,Procurement,region_6,Bachelor's,f,other,1,29,5,1,1,0,70,0
2819,49360,HR,region_2,Below Secondary,m,sourcing,1,20,3,1,0,0,50,0
2835,18765,Sales & Marketing,region_6,Bachelor's,f,sourcing,1,28,3,1,0,0,53,0
2842,77784,Finance,region_2,Bachelor's,m,other,2,29,3,1,0,0,54,0
2855,7873,Analytics,region_9,Master's & above,m,other,1,27,3,1,0,0,88,0
2864,76700,Sales & Marketing,region_22,Bachelor's,m,other,1,26,5,1,1,0,50,0
2872,57292,Operations,region_27,Bachelor's,f,other,1,26,5,1,1,0,57,0
2877,8950,Analytics,region_15,Bachelor's,m,other,1,30,5,1,1,0,84,0
2878,12258,Technology,region_31,Bachelor's,f,sourcing,1,26,3,1,1,0,84,0
2893,38186,Operations,region_16,Bachelor's,m,other,1,26,3,1,0,0,58,0
2894,56970,Sales & Marketing,region_25,Bachelor's,m,sourcing,1,28,5,1,1,0,53,0
2918,13989,Operations,region_16,Bachelor's,f,other,2,26,4,1,1,1,61,0
2923,22426,Legal,region_11,Bachelor's,m,sourcing,1,29,3,1,0,0,64,0
2928,34662,Legal,region_22,Bachelor's,m,sourcing,3,28,3,1,0,0,59,0
2964,53595,Finance,region_13,Bachelor's,m,sourcing,1,28,3,1,1,0,60,0
3012,48421,Technology,region_2,Below Secondary,f,other,1,23,3,1,0,0,76,0
3032,34577,Sales & Marketing,region_11,Bachelor's,f,sourcing,1,26,3,1,0,0,47,0
3074,30417,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,26,3,1,0,0,49,0
3075,14634,Procurement,region_2,Below Secondary,m,other,1,25,3,1,0,0,72,0
3078,73722,Procurement,region_13,Bachelor's,f,sourcing,2,24,3,1,0,0,66,0
3094,58232,Procurement,region_2,Master's & above,m,sourcing,1,31,3,1,0,0,69,0
3097,13182,Sales & Marketing,region_22,Bachelor's,f,other,2,27,5,1,0,0,56,0
3127,76079,Analytics,region_22,Bachelor's,m,referred,1,29,5,1,1,0,87,0
3157,68376,Sales & Marketing,region_13,Bachelor's,m,sourcing,1,29,4,1,1,1,92,1
3180,6619,Sales & Marketing,region_2,Bachelor's,m,other,2,25,5,1,1,0,50,0
3188,66626,Sales & Marketing,region_22,Bachelor's,m,other,8,26,3,1,0,0,47,0
3192,67245,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,26,5,1,1,1,90,1
3200,47111,Analytics,region_22,Master's & above,m,sourcing,1,27,3,1,0,0,85,0
3221,30552,Sales & Marketing,region_6,Bachelor's,m,sourcing,1,31,3,1,0,0,45,0
3224,1628,Finance,region_7,Below Secondary,m,other,1,25,3,1,0,0,63,0
3260,2316,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,28,3,1,0,0,50,0
3271,33116,Technology,region_16,Below Secondary,m,other,1,24,3,1,0,0,80,0
3300,69542,Sales & Marketing,region_19,Bachelor's,m,other,1,32,4,1,1,0,97,1
3328,44451,HR,region_2,Bachelor's,m,referred,1,25,5,1,1,0,45,0
3374,47096,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,28,5,1,1,0,94,1
3402,14638,Analytics,region_25,Bachelor's,f,other,1,29,3,1,0,0,84,1
3419,55620,Sales & Marketing,region_2,,f,other,1,30,5,1,1,0,48,0
3429,15599,Procurement,region_27,Bachelor's,f,other,1,25,3,1,0,0,69,0
3461,2498,Procurement,region_22,Bachelor's,m,sourcing,1,32,3,1,0,0,66,0
3469,65386,Technology,region_22,Bachelor's,m,other,1,25,3,1,0,0,85,0
3480,76335,Procurement,region_34,Bachelor's,m,sourcing,1,29,5,1,1,0,68,0
3483,63281,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,24,5,1,1,0,49,0
3504,45776,Sales & Marketing,region_32,,m,sourcing,1,24,3,1,0,0,51,0
3507,46368,Sales & Marketing,region_32,,m,other,1,27,3,1,0,0,51,0
3551,35282,Finance,region_22,Bachelor's,f,sourcing,1,26,4,1,1,0,63,0
3556,24849,Operations,region_22,Bachelor's,m,other,1,30,3,1,0,0,63,0
3558,47523,Sales & Marketing,region_2,,f,sourcing,1,26,3,1,1,0,55,0
3563,36156,Procurement,region_2,Master's & above,m,other,1,30,3,1,0,0,66,0
3574,53911,Technology,region_26,Bachelor's,f,other,1,25,3,1,0,0,79,0
3589,16636,Procurement,region_22,Bachelor's,m,other,3,30,3,1,0,0,68,0
3597,75725,Technology,region_7,Bachelor's,f,other,1,26,3,1,0,0,74,0
3607,22215,R&D,region_2,,m,other,2,25,3,1,0,0,84,0
3609,2818,Procurement,region_7,Bachelor's,f,sourcing,1,29,3,1,0,0,72,0
3636,10406,Technology,region_2,Below Secondary,f,other,1,20,3,1,0,0,78,0
3638,13503,Legal,region_2,Below Secondary,m,other,1,26,3,1,1,0,58,0
3641,70071,Analytics,region_3,Bachelor's,m,sourcing,1,29,5,1,1,0,83,0
3647,43483,Analytics,region_1,Master's & above,m,sourcing,1,32,5,1,1,0,85,0
3674,35757,HR,region_28,Bachelor's,m,other,1,30,3,1,0,0,50,0
3715,4704,Technology,region_22,Bachelor's,m,sourcing,1,28,5,1,1,0,78,1
3730,10165,Sales & Marketing,region_3,Bachelor's,m,other,1,29,3,1,0,0,45,0
3748,25703,Operations,region_7,Bachelor's,f,other,1,27,3,1,0,0,59,0
3763,15773,Sales & Marketing,region_2,,f,sourcing,1,25,1,1,1,1,92,1
3783,60951,Analytics,region_2,Bachelor's,m,sourcing,1,27,5,1,1,0,83,0
3795,4071,Sales & Marketing,region_2,,f,other,1,22,1,1,1,1,51,0
3803,52851,Finance,region_22,Bachelor's,m,other,1,24,3,1,0,0,54,0
3805,39547,Procurement,region_19,Bachelor's,m,other,1,32,5,1,1,0,66,1
3827,21295,Sales & Marketing,region_9,,m,sourcing,1,28,5,1,1,0,54,0
3842,52279,Finance,region_2,Bachelor's,m,sourcing,1,26,5,1,1,0,58,0
3855,45662,Operations,region_30,Bachelor's,m,other,1,27,5,1,1,0,59,0
3864,13323,Sales & Marketing,region_7,,m,other,1,30,5,1,1,0,49,1
3868,45170,Sales & Marketing,region_2,Bachelor's,m,sourcing,1,27,5,1,1,0,50,0
3878,76636,Operations,region_2,Bachelor's,f,other,1,31,3,1,0,0,56,0
3879,75742,Sales & Marketing,region_22,Bachelor's,m,referred,1,30,5,1,0,0,50,0
3880,30507,Procurement,region_2,Below Secondary,m,sourcing,1,24,3,1,0,0,72,0
3901,17115,Sales & Marketing,region_13,,m,other,1,24,3,1,0,0,52,0
3903,30362,Legal,region_13,Bachelor's,m,sourcing,1,28,1,1,1,0,62,0
3927,59639,Operations,region_5,Bachelor's,m,sourcing,1,28,3,1,0,0,55,0
3939,16097,Sales & Marketing,region_22,,m,sourcing,2,24,3,1,0,0,51,0
3958,78084,HR,region_22,Below Secondary,f,other,1,24,3,1,1,0,52,0
3969,17530,HR,region_17,Bachelor's,m,other,1,28,5,1,1,0,49,1
3979,27061,Technology,region_22,Bachelor's,m,other,4,26,3,1,0,0,82,0
3996,17728,Sales & Marketing,region_27,Bachelor's,f,other,1,26,1,1,0,0,50,0
4000,69300,Sales & Marketing,region_4,Bachelor's,m,sourcing,1,29,5,1,1,0,49,1
4017,60875,Operations,region_15,Bachelor's,f,sourcing,1,27,3,1,1,1,58,0
4035,55908,Sales & Marketing,region_27,Bachelor's,f,other,1,24,1,1,0,0,44,0
4045,23820,Sales & Marketing,region_22,Bachelor's,m,sourcing,2,27,5,1,1,0,53,0
4058,8553,HR,region_11,Bachelor's,m,other,1,28,5,1,1,0,49,0
4061,30122,Technology,region_25,Bachelor's,f,other,1,27,4,1,1,0,78,0
4073,59201,Technology,region_27,Bachelor's,f,sourcing,1,25,3,1,0,0,83,0
4089,9259,Operations,region_22,Bachelor's,m,sourcing,1,25,3,1,0,0,62,0
4094,37182,Procurement,region_22,Bachelor's,f,other,1,29,3,1,0,0,69,0
4110,32010,Sales & Marketing,region_2,Bachelor's,m,other,1,27,3,1,0,0,46,0
4119,64248,Sales & Marketing,region_18,Bachelor's,m,sourcing,1,28,3,1,0,0,49,0
4125,67248,Sales & Marketing,region_16,Bachelor's,m,other,1,30,3,1,0,0,48,0
4133,42203,Legal,region_22,Bachelor's,m,sourcing,1,28,5,1,1,0,63,0
4170,3544,Analytics,region_12,Bachelor's,m,sourcing,1,29,3,1,0,0,83,0
4189,68157,Sales & Marketing,region_29,Bachelor's,m,other,1,28,3,1,0,0,53,0
