,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
226,35830,Sales & Marketing,region_22,0,m,other,1,25,3.0,1,0,0,47
249,38693,Sales & Marketing,region_7,0,m,other,1,20,,1,0,0,48
252,38475,Sales & Marketing,region_7,0,m,other,1,24,,1,1,0,49
259,66214,Sales & Marketing,region_22,0,m,sourcing,1,23,,1,0,0,50
271,61065,Sales & Marketing,region_2,0,f,other,1,20,,1,0,0,43
274,15555,Analytics,region_2,0,m,other,1,28,,1,0,0,85
281,55194,Analytics,region_22,0,m,other,1,25,,1,1,0,82
284,56110,Sales & Marketing,region_27,0,m,other,1,27,,1,0,0,54
285,77707,Sales & Marketing,region_7,0,m,sourcing,1,26,,1,1,0,50
286,17437,Operations,region_32,0,m,sourcing,1,30,,1,0,0,56
289,18140,Sales & Marketing,region_28,0,m,other,1,29,,1,0,0,49
307,34238,Sales & Marketing,region_2,0,m,other,2,24,,1,0,0,49
309,66788,Sales & Marketing,region_15,0,m,other,1,26,,1,0,0,49
314,1206,Analytics,region_9,0,m,other,1,28,,1,0,0,82
316,71656,Sales & Marketing,region_13,0,m,other,1,22,,1,1,0,46
317,8985,Analytics,region_22,0,m,other,1,28,,1,0,0,86
335,17748,Sales & Marketing,region_7,0,m,other,1,26,,1,0,0,52
336,74498,Analytics,region_22,0,m,sourcing,1,27,,1,1,0,86
344,75300,Procurement,region_17,0,m,other,1,28,,1,0,0,69
345,42208,Sales & Marketing,region_24,0,m,other,1,28,,1,0,0,48
361,32062,Sales & Marketing,region_2,0,f,sourcing,1,24,3.0,1,0,0,52
362,50546,Sales & Marketing,region_2,0,m,other,1,26,,1,0,0,53
363,56253,Sales & Marketing,region_22,0,m,sourcing,2,25,,1,0,0,48
365,14423,Sales & Marketing,region_2,0,m,other,2,25,,1,0,0,61
366,50055,Sales & Marketing,region_2,0,m,other,1,25,,1,0,0,48
371,46470,Sales & Marketing,region_20,0,m,other,1,24,,1,0,0,50
383,18109,Sales & Marketing,region_13,0,m,other,1,21,,1,0,0,48
384,26602,Sales & Marketing,region_26,0,m,other,1,24,,1,1,0,48
385,68845,Sales & Marketing,region_2,0,m,sourcing,1,24,,1,0,0,44
400,9780,Sales & Marketing,region_28,0,m,other,1,27,,1,0,0,44
402,31956,Sales & Marketing,region_2,0,f,other,2,23,,1,0,0,50
405,56018,Sales & Marketing,region_2,0,m,other,1,22,,1,0,0,49
410,74292,Procurement,region_2,0,m,sourcing,1,27,,1,0,0,68
420,9785,Analytics,region_2,0,m,other,1,23,,1,0,0,88
441,58709,Sales & Marketing,region_7,0,m,other,1,21,,1,0,0,50
443,63496,Operations,region_2,0,m,sourcing,1,29,,1,0,0,61
450,57372,Analytics,region_22,0,m,other,1,27,,1,1,0,85
455,73720,Sales & Marketing,region_22,0,m,other,1,28,,1,1,0,51
460,78067,Sales & Marketing,region_26,0,m,other,1,25,,1,1,0,50
461,70860,Sales & Marketing,region_15,0,m,sourcing,1,24,,1,0,0,50
462,44122,Sales & Marketing,region_16,0,m,sourcing,1,21,,1,0,0,51
466,67555,Sales & Marketing,region_7,0,m,other,1,24,,1,0,0,49
470,19203,Sales & Marketing,region_2,0,f,other,1,22,,1,0,0,50
475,22830,Analytics,region_32,0,m,sourcing,2,28,,1,0,0,89
477,51767,Sales & Marketing,region_2,0,f,sourcing,1,21,,1,0,0,49
485,13796,Operations,region_8,0,f,other,1,27,3.0,1,0,0,62
486,52410,Sales & Marketing,region_7,0,m,other,1,24,,1,1,0,48
493,8420,Procurement,region_22,0,m,other,1,28,,1,0,0,73
494,55698,Sales & Marketing,region_2,0,m,other,1,24,,1,1,0,51
503,44865,R&D,region_2,0,m,sourcing,4,27,,1,0,0,82
507,69864,Sales & Marketing,region_31,0,m,other,1,26,,1,1,0,48
512,38806,Sales & Marketing,region_13,0,m,other,1,22,,1,0,0,52
517,30884,Sales & Marketing,region_2,0,f,sourcing,1,23,,1,0,0,49
520,7902,Sales & Marketing,region_25,0,m,sourcing,2,26,,1,0,0,50
525,5787,HR,region_32,0,m,other,1,27,,1,0,0,53
529,40063,Sales & Marketing,region_16,0,m,other,1,30,,1,0,0,64
550,17079,Sales & Marketing,region_2,0,f,sourcing,2,24,,1,0,0,47
553,61418,Sales & Marketing,region_25,0,m,sourcing,1,30,,1,0,0,46
554,16665,Sales & Marketing,region_32,0,m,sourcing,1,25,,1,0,0,53
560,48628,Sales & Marketing,region_2,0,m,other,3,25,,1,0,0,51
562,41282,Sales & Marketing,region_32,0,m,other,1,26,,1,0,0,51
577,62231,Sales & Marketing,region_2,0,f,sourcing,1,29,,1,0,0,48
578,40150,Sales & Marketing,region_26,0,m,sourcing,1,23,,1,0,0,49
579,59758,R&D,region_2,0,m,other,3,28,,1,0,0,83
599,6049,Sales & Marketing,region_25,0,m,sourcing,1,26,,1,1,0,49
602,35653,Sales & Marketing,region_16,0,m,sourcing,2,22,,1,0,0,50
605,4299,Sales & Marketing,region_12,0,m,other,1,24,,1,0,0,49
614,73234,Sales & Marketing,region_2,0,m,other,2,28,,1,0,0,52
616,74503,Sales & Marketing,region_2,0,m,other,1,22,,1,0,0,56
617,68301,Sales & Marketing,region_22,0,m,other,2,26,,1,1,0,47
619,6626,Analytics,region_2,0,m,sourcing,1,26,,1,1,0,88
620,75169,R&D,region_2,0,m,sourcing,1,25,3.0,1,0,0,82
623,62526,Sales & Marketing,region_2,0,m,other,1,25,,1,0,0,48
624,77273,Sales & Marketing,region_2,0,f,other,1,23,,1,1,0,49
629,2379,Sales & Marketing,region_16,0,m,sourcing,1,23,,1,1,0,51
632,58030,Sales & Marketing,region_22,0,m,other,2,27,,1,0,1,51
634,67200,Sales & Marketing,region_16,0,m,other,1,22,,1,0,1,51
639,2366,Sales & Marketing,region_2,0,m,sourcing,2,26,,1,0,0,49
641,39355,Sales & Marketing,region_2,0,m,other,2,29,,1,0,0,48
650,2680,Sales & Marketing,region_2,0,m,sourcing,1,25,,1,0,0,55
658,75336,Sales & Marketing,region_2,0,m,other,1,23,3.0,1,0,0,49
659,31370,Analytics,region_7,0,m,other,2,25,,1,1,0,85
663,7552,Sales & Marketing,region_2,0,m,other,2,30,,1,0,0,46
667,7055,Sales & Marketing,region_7,0,m,sourcing,1,23,,1,0,0,58
668,57972,Sales & Marketing,region_2,0,m,sourcing,2,22,,1,0,0,52
686,74895,Sales & Marketing,region_2,0,m,sourcing,1,26,,1,0,0,47
689,51815,Analytics,region_22,0,f,other,1,28,,1,1,0,89
696,32198,Sales & Marketing,region_15,0,m,sourcing,1,25,,1,0,0,49
700,43451,Analytics,region_2,0,m,sourcing,2,23,,1,0,0,76
702,2193,Sales & Marketing,region_31,0,m,other,1,24,,1,1,0,52
704,2662,Analytics,region_26,0,m,sourcing,1,27,,1,1,0,84
711,53989,Analytics,region_22,0,m,other,1,24,,1,0,0,86
715,22375,Sales & Marketing,region_28,0,m,other,1,28,,1,0,0,50
719,25281,Sales & Marketing,region_11,0,m,other,1,23,,1,0,0,47
722,16583,Sales & Marketing,region_3,0,m,sourcing,1,24,,1,0,0,53
730,35151,Analytics,region_32,0,m,other,1,28,,1,0,0,86
732,51871,Analytics,region_32,0,m,other,2,27,,1,0,0,85
737,32782,Sales & Marketing,region_13,0,m,other,1,24,3.0,1,0,0,48
740,1951,Sales & Marketing,region_7,0,m,other,1,29,,1,1,0,53
745,42366,Sales & Marketing,region_23,0,m,other,1,30,,1,0,0,48
748,64934,Sales & Marketing,region_2,0,f,sourcing,1,24,,1,0,1,53
751,67224,Sales & Marketing,region_2,0,f,other,2,22,,1,0,0,51
752,45109,Analytics,region_2,0,m,sourcing,3,25,,1,0,0,86
759,29302,Sales & Marketing,region_2,0,f,sourcing,1,23,,1,0,0,50
761,57059,Analytics,region_22,0,m,other,2,26,,1,1,0,82
769,42917,Sales & Marketing,region_14,0,m,other,1,24,,1,0,0,50
783,37917,Sales & Marketing,region_2,0,m,sourcing,1,24,,1,0,0,48
784,74337,Sales & Marketing,region_32,0,m,other,1,27,,1,0,0,50
792,66341,Operations,region_22,0,m,sourcing,1,29,,1,0,0,57
798,8580,Sales & Marketing,region_2,0,m,other,1,21,,1,0,0,51
806,76643,Analytics,region_31,0,f,other,1,27,,1,1,0,87
811,48668,Sales & Marketing,region_28,0,m,other,1,31,,1,1,0,48
817,48541,Sales & Marketing,region_2,0,m,other,1,24,,1,0,0,51
819,15196,Sales & Marketing,region_2,0,m,other,2,20,,1,0,0,50
828,45162,Sales & Marketing,region_2,0,f,other,1,25,3.0,1,1,0,51
836,47597,R&D,region_2,0,m,other,2,26,,1,1,0,84
845,61914,Analytics,region_32,0,m,other,1,27,,1,0,0,86
852,5411,Sales & Marketing,region_31,0,m,sourcing,1,24,,1,0,0,49
856,47937,Sales & Marketing,region_2,0,m,sourcing,1,25,,1,1,0,51
866,40992,Sales & Marketing,region_22,0,m,other,4,25,5.0,1,0,0,47
870,52970,Sales & Marketing,region_22,0,m,other,2,29,,1,0,0,52
879,63835,Analytics,region_2,0,m,other,3,25,,1,0,0,84
882,38546,Sales & Marketing,region_2,0,m,sourcing,2,22,,1,0,0,48
903,53996,Analytics,region_2,0,m,sourcing,1,23,,1,0,0,83
908,60292,Analytics,region_22,0,m,sourcing,1,26,,1,0,0,86
916,4562,Sales & Marketing,region_31,0,m,sourcing,1,26,,1,0,0,53
922,13274,Sales & Marketing,region_13,0,m,sourcing,2,23,,1,0,0,51
932,2813,Analytics,region_7,0,m,other,1,24,,1,0,0,87
945,3027,Sales & Marketing,region_7,0,m,other,1,22,,1,0,0,51
947,23280,HR,region_2,0,f,other,1,24,,1,0,0,48
953,47769,Analytics,region_7,0,m,other,1,28,,1,0,0,87
964,17684,Sales & Marketing,region_22,0,m,other,1,25,,1,1,0,55
968,70922,Sales & Marketing,region_31,0,m,sourcing,1,29,,1,0,0,52
978,76459,Sales & Marketing,region_22,0,m,sourcing,1,21,,1,0,0,49
995,18186,Sales & Marketing,region_26,0,f,other,1,24,,1,0,0,47
1003,3025,Sales & Marketing,region_27,0,m,other,1,23,,1,0,0,49
1005,50880,Analytics,region_22,0,m,other,1,29,,1,0,0,84
1009,35871,HR,region_2,0,m,other,1,34,,1,0,0,49
1011,58766,Analytics,region_22,0,m,other,1,29,,1,1,1,80
1021,18634,Sales & Marketing,region_7,0,m,sourcing,2,24,,1,0,0,49
0,3720,Sales & Marketing,region_2,0,m,sourcing,1,36,5.0,4,1,0,49
1,26977,Operations,region_2,0,m,sourcing,1,28,3.0,3,0,0,59
2,2347,Analytics,region_15,0,m,other,2,37,5.0,8,1,0,82
4,2721,Analytics,region_22,0,f,sourcing,2,26,5.0,3,1,0,86
5,3203,Sales & Marketing,region_2,0,m,sourcing,1,37,4.0,4,0,0,50
6,26788,Sales & Marketing,region_26,0,m,sourcing,1,40,1.0,8,0,0,51
8,14778,Analytics,region_22,0,m,other,1,29,5.0,2,1,0,84
10,63354,Technology,region_2,0,f,other,1,56,3.0,12,0,0,79
12,43657,Sales & Marketing,region_26,0,m,other,1,24,4.0,3,0,0,50
13,52076,Sales & Marketing,region_15,0,m,sourcing,1,45,1.0,14,0,0,55
15,74667,Sales & Marketing,region_2,0,f,sourcing,1,36,3.0,7,0,0,49
16,38917,Sales & Marketing,region_1,0,m,other,1,28,4.0,5,0,0,49
17,50037,Analytics,region_2,0,m,other,1,28,1.0,3,0,0,82
18,53303,Operations,region_2,0,f,sourcing,1,58,4.0,5,1,0,64
19,64996,Analytics,region_22,0,m,sourcing,1,27,3.0,3,1,0,84
20,23708,Sales & Marketing,region_26,0,m,sourcing,3,32,2.0,8,0,0,49
21,58769,Sales & Marketing,region_1,0,m,other,1,27,3.0,6,1,0,53
23,16986,Finance,region_2,0,m,other,1,34,3.0,6,0,0,62
24,24677,Sales & Marketing,region_31,0,m,other,1,27,5.0,2,1,0,47
26,21572,Sales & Marketing,region_2,0,f,other,1,34,4.0,3,0,0,51
27,3570,Operations,region_22,0,m,other,1,26,4.0,4,0,0,63
28,33835,Sales & Marketing,region_2,0,m,other,1,37,1.0,9,0,0,50
30,1749,Technology,region_2,0,m,other,2,34,3.0,6,1,0,85
31,54053,Finance,region_2,0,f,sourcing,1,39,3.0,13,0,0,65
32,31515,Sales & Marketing,region_2,0,m,other,2,30,3.0,4,0,0,45
33,2425,Sales & Marketing,region_26,0,m,other,1,29,3.0,4,0,0,55
34,53176,Technology,region_2,0,m,sourcing,1,41,3.0,12,0,0,80
35,30353,Operations,region_2,0,m,other,2,35,3.0,5,0,0,55
37,75683,Sales & Marketing,region_19,0,m,other,1,39,3.0,3,0,0,53
39,5139,Sales & Marketing,region_26,0,m,sourcing,1,27,2.0,3,1,0,48
40,49647,Sales & Marketing,region_31,0,m,sourcing,1,34,4.0,7,0,0,51
41,49618,Analytics,region_31,0,m,sourcing,1,32,3.0,5,0,0,83
43,77167,Sales & Marketing,region_2,0,m,other,1,39,2.0,14,0,0,47
44,55269,Operations,region_32,0,m,other,1,30,5.0,6,0,0,58
45,65121,Sales & Marketing,region_29,0,f,sourcing,1,28,1.0,1,0,0,48
46,15563,Sales & Marketing,region_7,0,m,other,1,38,3.0,7,0,0,51
47,55993,Operations,region_22,0,m,sourcing,1,27,4.0,3,0,0,60
48,56380,Sales & Marketing,region_2,0,m,sourcing,1,42,3.0,14,0,0,46
49,42628,Sales & Marketing,region_2,0,m,sourcing,1,22,2.0,2,0,0,47
51,17454,Sales & Marketing,region_2,0,m,other,1,34,3.0,4,0,0,48
52,69439,Procurement,region_2,0,f,other,1,47,4.0,15,0,0,72
53,53041,Operations,region_15,0,m,other,1,30,4.0,2,1,0,64
54,11480,Sales & Marketing,region_21,0,m,sourcing,1,33,3.0,7,0,0,49
55,54593,Analytics,region_22,0,f,sourcing,1,29,1.0,2,0,0,86
56,43696,Sales & Marketing,region_2,0,f,sourcing,1,33,1.0,6,1,0,49
57,10260,Sales & Marketing,region_32,0,m,other,1,28,1.0,5,0,0,47
58,75283,Sales & Marketing,region_19,0,m,sourcing,1,34,3.0,6,0,0,49
59,27757,Sales & Marketing,region_2,0,m,other,2,34,3.0,6,0,0,51
61,76994,Sales & Marketing,region_2,0,m,other,2,27,4.0,2,1,0,48
63,37528,Sales & Marketing,region_1,0,m,sourcing,1,29,2.0,5,0,0,47
65,60654,Sales & Marketing,region_6,0,m,other,1,30,5.0,5,1,0,47
67,12811,Sales & Marketing,region_15,0,m,other,1,32,1.0,2,0,0,47
68,700,Analytics,region_22,0,m,other,1,33,3.0,10,1,0,87
69,48784,Sales & Marketing,region_2,0,f,other,1,22,5.0,1,0,0,45
70,31670,Operations,region_15,0,m,other,1,38,3.0,2,0,0,62
71,38284,Sales & Marketing,region_32,0,f,sourcing,1,29,3.0,5,0,0,52
72,9064,Sales & Marketing,region_7,0,m,other,1,36,3.0,5,0,0,51
75,1346,Analytics,region_2,0,m,other,1,43,3.0,13,0,0,85
76,71446,Operations,region_16,0,f,other,1,31,5.0,7,1,0,64
77,34725,Operations,region_23,0,m,sourcing,1,29,3.0,7,0,0,55
78,76569,Analytics,region_22,0,m,sourcing,1,24,5.0,3,1,0,85
79,54159,Sales & Marketing,region_9,0,m,sourcing,1,29,3.0,4,0,0,48
81,62135,Sales & Marketing,region_32,0,m,sourcing,1,29,2.0,4,0,0,44
82,64525,Sales & Marketing,region_23,0,m,sourcing,1,33,1.0,7,0,0,49
83,41758,Sales & Marketing,region_13,0,m,sourcing,1,31,1.0,6,0,0,49
84,3668,Sales & Marketing,region_7,0,m,sourcing,1,25,5.0,2,0,0,69
85,69866,Operations,region_32,0,m,sourcing,1,28,3.0,2,0,0,61
86,63453,HR,region_26,0,m,sourcing,1,30,3.0,6,1,0,51
87,40914,Sales & Marketing,region_7,0,f,other,1,25,4.0,3,0,0,48
88,27978,Procurement,region_2,0,f,sourcing,1,35,5.0,5,0,0,74
89,8264,Sales & Marketing,region_2,0,m,other,1,29,3.0,2,0,0,52
90,73513,Sales & Marketing,region_9,0,m,other,1,39,1.0,7,0,0,53
92,16624,Sales & Marketing,region_32,0,f,other,1,27,5.0,5,0,0,51
94,51676,Analytics,region_29,0,m,sourcing,1,30,4.0,3,1,0,83
95,25917,Technology,region_7,0,m,other,1,24,4.0,1,0,0,79
96,73917,Sales & Marketing,region_2,0,f,sourcing,1,25,3.0,2,1,0,51
97,19094,Procurement,region_26,0,m,other,1,33,3.0,7,1,0,70
99,24703,Sales & Marketing,region_28,0,m,other,1,34,5.0,10,0,0,55
100,35969,Sales & Marketing,region_26,0,m,other,1,31,2.0,5,0,0,48
101,74554,Sales & Marketing,region_13,0,m,other,1,45,3.0,7,0,0,57
102,18385,Sales & Marketing,region_1,0,m,other,1,28,1.0,3,0,0,47
103,47949,Analytics,region_22,0,m,other,2,26,4.0,3,1,0,83
104,63732,Operations,region_32,0,m,other,1,31,5.0,6,1,0,56
105,1893,Sales & Marketing,region_2,0,m,sourcing,1,22,5.0,2,0,1,60
106,18333,Sales & Marketing,region_28,0,m,sourcing,1,32,3.0,7,0,0,51
107,8406,Sales & Marketing,region_7,0,m,other,1,31,5.0,6,0,0,50
108,56741,Sales & Marketing,region_14,0,m,other,2,25,3.0,2,0,0,46
109,7930,Sales & Marketing,region_19,0,m,sourcing,1,35,1.0,7,0,0,50
111,39762,Operations,region_2,0,f,other,1,28,5.0,2,1,0,61
112,40409,Analytics,region_22,0,m,sourcing,1,26,2.0,5,0,0,84
113,13041,Analytics,region_22,0,m,sourcing,1,28,4.0,2,0,0,83
115,59634,Sales & Marketing,region_2,0,m,sourcing,1,37,5.0,6,0,0,48
116,58057,Sales & Marketing,region_2,0,m,sourcing,1,44,3.0,3,0,0,54
117,29339,Technology,region_26,0,m,other,1,35,5.0,10,1,0,83
118,42104,R&D,region_22,0,m,sourcing,1,28,3.0,5,0,0,84
119,58356,Analytics,region_22,0,m,other,1,29,5.0,6,1,0,83
120,54777,Sales & Marketing,region_7,0,m,other,1,25,4.0,4,1,0,53
121,7203,Sales & Marketing,region_22,0,m,sourcing,1,28,3.0,2,1,1,47
122,11137,Sales & Marketing,region_16,0,m,other,1,41,2.0,11,0,0,54
123,64782,Sales & Marketing,region_7,0,m,other,3,31,3.0,3,0,0,51
124,54011,Sales & Marketing,region_1,0,m,sourcing,1,28,3.0,2,1,0,48
126,53538,Sales & Marketing,region_2,0,m,sourcing,2,20,2.0,2,0,0,50
127,33975,Sales & Marketing,region_15,0,f,other,1,31,3.0,4,0,0,50
128,30824,Analytics,region_2,0,m,other,1,45,3.0,13,0,0,84
129,69581,Sales & Marketing,region_2,0,m,other,1,30,3.0,1,0,0,51
131,2788,Finance,region_2,0,m,other,1,44,3.0,15,0,0,58
132,35065,Sales & Marketing,region_9,0,m,other,1,30,1.0,4,0,0,52
133,54366,Analytics,region_22,0,m,sourcing,1,23,3.0,1,1,0,88
134,37972,Analytics,region_22,0,m,sourcing,4,27,5.0,3,1,0,86
135,36161,Sales & Marketing,region_2,0,m,other,1,37,4.0,4,1,0,47
136,17184,Finance,region_2,0,m,other,1,34,4.0,6,1,0,59
138,55912,Sales & Marketing,region_15,0,m,sourcing,1,39,5.0,10,0,0,51
139,40076,Sales & Marketing,region_2,0,f,other,1,34,2.0,4,0,0,50
140,75686,Sales & Marketing,region_2,0,f,other,1,29,3.0,7,1,0,50
141,60096,Sales & Marketing,region_30,0,m,sourcing,1,25,3.0,3,0,0,54
144,20509,Sales & Marketing,region_22,0,m,other,1,24,5.0,1,0,0,50
145,44007,Sales & Marketing,region_2,0,m,sourcing,1,32,5.0,3,0,0,47
146,71683,Sales & Marketing,region_27,0,m,sourcing,1,32,2.0,7,1,0,54
148,33753,Sales & Marketing,region_7,0,m,sourcing,1,28,5.0,6,0,0,46
149,71150,Sales & Marketing,region_13,0,m,other,1,23,3.0,2,0,0,53
150,35204,Sales & Marketing,region_25,0,m,sourcing,1,26,5.0,5,1,0,44
151,76867,Sales & Marketing,region_2,0,f,sourcing,1,36,5.0,9,0,0,48
152,60807,Sales & Marketing,region_2,0,m,sourcing,1,23,5.0,2,1,0,48
153,46929,Analytics,region_22,0,m,other,1,28,2.0,2,1,0,84
154,38689,Sales & Marketing,region_16,0,m,sourcing,1,32,5.0,6,0,0,54
155,34947,Sales & Marketing,region_2,0,m,other,1,21,1.0,2,0,0,49
156,39475,HR,region_2,0,m,sourcing,1,30,3.0,9,0,0,44
157,12031,Sales & Marketing,region_16,0,m,other,1,25,3.0,2,0,0,48
158,74159,Sales & Marketing,region_11,0,m,sourcing,1,36,3.0,10,0,0,51
159,25307,Technology,region_27,0,m,other,2,28,4.0,4,0,0,84
160,19739,Sales & Marketing,region_31,0,m,other,2,30,3.0,7,0,0,46
161,71752,Sales & Marketing,region_2,0,m,referred,2,24,5.0,2,1,0,44
162,27620,Sales & Marketing,region_2,0,m,other,3,49,2.0,20,0,0,51
163,18998,Sales & Marketing,region_16,0,m,other,1,25,4.0,2,1,0,51
164,42158,Operations,region_2,0,f,other,1,53,2.0,11,0,0,61
165,14211,Analytics,region_22,0,m,sourcing,1,32,3.0,8,0,0,86
166,46711,Operations,region_2,0,f,other,1,49,3.0,10,0,0,58
167,64049,Sales & Marketing,region_7,0,m,other,1,35,3.0,10,0,0,47
168,42230,Analytics,region_2,0,m,other,1,23,1.0,2,0,0,87
169,38743,Analytics,region_32,0,m,sourcing,1,27,3.0,3,0,0,84
170,67671,Sales & Marketing,region_21,0,m,sourcing,1,39,1.0,9,0,0,49
171,2897,Sales & Marketing,region_2,0,m,sourcing,1,32,2.0,3,0,0,52
172,39929,Sales & Marketing,region_2,0,m,sourcing,2,24,3.0,2,0,0,49
173,55345,Sales & Marketing,region_2,0,m,sourcing,1,43,1.0,12,0,0,49
174,55746,Sales & Marketing,region_15,0,m,sourcing,1,20,3.0,2,0,0,52
176,20112,Sales & Marketing,region_23,0,m,other,1,34,1.0,2,0,0,49
177,11481,Sales & Marketing,region_16,0,m,other,1,29,3.0,4,0,0,46
178,72112,Sales & Marketing,region_22,0,f,other,1,28,1.0,5,0,0,52
179,21052,Sales & Marketing,region_16,0,m,sourcing,1,24,3.0,2,0,0,50
180,49391,Sales & Marketing,region_15,0,m,other,1,27,1.0,4,0,0,49
183,17546,Sales & Marketing,region_15,0,m,sourcing,1,38,3.0,4,0,0,44
184,46611,Sales & Marketing,region_2,0,m,sourcing,1,23,5.0,2,1,0,48
185,59184,R&D,region_22,0,m,sourcing,1,28,5.0,2,1,0,85
186,34548,Sales & Marketing,region_7,0,m,other,1,26,5.0,3,0,0,46
187,43733,Sales & Marketing,region_2,0,m,other,1,26,5.0,2,1,0,47
188,6646,Sales & Marketing,region_9,0,m,sourcing,1,33,3.0,5,0,0,47
189,13990,Sales & Marketing,region_22,0,f,sourcing,1,27,3.0,4,1,0,49
190,67977,Procurement,region_2,0,m,sourcing,1,34,3.0,9,0,0,63
191,13429,Sales & Marketing,region_16,0,f,other,1,22,4.0,2,0,0,50
192,3450,Sales & Marketing,region_1,0,m,sourcing,1,33,3.0,3,0,0,50
193,141,Sales & Marketing,region_22,0,m,other,1,29,4.0,5,1,0,48
194,67933,Operations,region_2,0,f,sourcing,1,35,3.0,8,0,0,58
195,66909,Sales & Marketing,region_7,0,m,other,1,28,2.0,5,0,0,53
196,40264,Sales & Marketing,region_2,0,m,other,1,34,3.0,7,1,0,48
197,21532,Analytics,region_2,0,m,sourcing,1,40,1.0,6,0,0,80
198,22794,Sales & Marketing,region_2,0,m,sourcing,2,33,1.0,4,0,0,56
199,13311,Sales & Marketing,region_23,0,m,sourcing,2,30,5.0,6,0,0,50
200,30423,Sales & Marketing,region_2,0,f,sourcing,1,46,1.0,14,0,0,53
201,43974,Technology,region_2,0,f,other,1,48,1.0,11,0,0,80
203,66433,Sales & Marketing,region_9,0,m,other,1,29,4.0,2,0,0,51
204,51987,Sales & Marketing,region_2,0,m,other,1,28,3.0,5,0,0,52
205,19394,Analytics,region_22,0,m,sourcing,3,28,4.0,4,1,0,87
206,43727,Sales & Marketing,region_27,0,m,other,1,29,3.0,5,0,0,47
207,18005,Sales & Marketing,region_2,0,m,other,1,40,5.0,7,1,0,55
208,37670,Analytics,region_22,0,m,other,1,26,5.0,2,1,0,85
209,54213,Sales & Marketing,region_31,0,m,sourcing,1,32,2.0,3,0,0,47
210,65972,Sales & Marketing,region_22,0,m,other,1,25,3.0,2,0,0,50
211,69490,Operations,region_8,0,f,other,1,31,4.0,5,0,0,57
212,43154,Sales & Marketing,region_26,0,m,other,1,31,3.0,2,1,0,50
213,517,HR,region_2,0,f,sourcing,1,33,3.0,4,1,0,50
214,68087,Analytics,region_2,0,m,sourcing,1,28,1.0,6,0,0,87
215,68779,Sales & Marketing,region_2,0,m,other,1,20,1.0,2,0,0,52
216,71104,Sales & Marketing,region_2,0,m,other,1,49,3.0,19,0,0,46
217,48590,Procurement,region_2,0,f,other,1,47,5.0,15,1,0,69
