,Unnamed: 0,employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
409,8677,51433,Sales & Marketing,region_22,0,m,sourcing,2,23,5,1,0,0,50,0
412,8693,68707,Sales & Marketing,region_32,0,m,other,1,23,3,1,0,0,50,0
424,8912,43478,Analytics,region_26,0,m,other,1,28,3,1,1,0,81,0
426,8947,21436,Sales & Marketing,region_5,0,m,sourcing,1,23,3,1,1,0,55,0
431,9050,287,Sales & Marketing,region_22,0,m,sourcing,1,22,3,1,0,0,62,1
432,9112,10089,Analytics,region_32,0,m,other,1,28,3,1,1,0,84,0
438,9275,46918,Sales & Marketing,region_2,0,m,sourcing,1,22,3,1,0,0,49,0
440,9387,76437,Sales & Marketing,region_7,0,m,other,3,25,3,1,1,0,47,0
454,9737,42100,Sales & Marketing,region_3,0,m,other,1,24,3,1,0,0,51,0
476,10170,45976,Sales & Marketing,region_2,0,m,other,1,23,3,1,0,0,49,0
478,10228,35162,Sales & Marketing,region_2,0,m,other,1,29,3,1,0,0,49,0
479,10269,60886,Sales & Marketing,region_2,0,m,sourcing,1,21,3,1,0,0,53,0
481,10287,48497,Sales & Marketing,region_2,0,m,sourcing,2,24,3,1,1,0,40,0
486,10326,38336,Sales & Marketing,region_26,0,m,sourcing,1,24,3,1,0,0,54,0
494,10416,30240,Sales & Marketing,region_2,0,m,other,1,23,3,1,1,0,47,1
503,10617,44473,Analytics,region_9,0,m,other,1,28,3,1,0,0,83,0
505,10631,56648,Sales & Marketing,region_7,0,m,sourcing,1,25,3,1,1,0,48,0
523,10952,15508,Analytics,region_15,0,m,other,1,29,5,1,0,0,85,0
524,10969,50495,Analytics,region_22,0,m,other,1,25,3,1,0,0,80,0
525,10989,8192,Sales & Marketing,region_2,0,m,other,1,23,5,1,0,0,50,0
531,11181,2664,Sales & Marketing,region_22,0,m,other,2,26,5,1,0,0,50,0
534,11279,48904,Analytics,region_31,0,m,other,2,27,3,1,0,0,83,0
537,11347,72952,Analytics,region_32,0,m,other,1,29,3,1,0,0,81,0
544,11603,37509,Sales & Marketing,region_13,0,m,sourcing,1,22,3,1,1,0,48,0
560,11867,13759,Sales & Marketing,region_22,0,m,other,3,28,3,1,0,0,51,0
561,11924,30692,Sales & Marketing,region_14,0,m,sourcing,1,22,3,1,0,0,63,1
563,11967,62491,Sales & Marketing,region_7,0,m,other,1,23,3,1,0,0,50,0
565,12084,51758,Analytics,region_27,0,m,sourcing,1,28,3,1,0,0,86,0
571,12221,13132,Analytics,region_22,0,m,sourcing,2,22,3,1,1,0,83,0
587,12518,46088,Sales & Marketing,region_2,0,m,other,2,23,3,1,0,0,51,0
602,12962,39028,Sales & Marketing,region_2,0,f,other,1,25,3,1,0,0,45,0
604,12988,61945,Sales & Marketing,region_27,0,m,other,1,26,3,1,0,0,48,0
611,13140,30965,Sales & Marketing,region_27,0,m,other,1,24,3,1,0,0,51,0
618,13326,63201,Analytics,region_2,0,m,other,1,29,5,1,0,0,85,0
623,13418,35862,Sales & Marketing,region_2,0,m,other,1,41,3,1,1,0,48,0
630,13789,77381,Sales & Marketing,region_2,0,m,other,1,24,5,1,0,0,49,0
631,13801,15056,Sales & Marketing,region_2,0,m,other,1,25,3,1,0,0,48,0
632,13812,5224,Sales & Marketing,region_13,0,m,sourcing,1,23,3,1,0,0,49,0
642,13990,60511,Sales & Marketing,region_22,0,m,other,1,23,3,1,0,0,42,0
643,13992,62462,Sales & Marketing,region_2,0,m,other,2,21,3,1,1,0,45,0
645,14114,53574,Sales & Marketing,region_2,0,m,sourcing,1,22,3,1,1,0,45,1
648,14217,42520,Sales & Marketing,region_26,0,m,sourcing,1,26,3,1,0,0,50,0
657,14373,73737,Analytics,region_22,0,m,sourcing,1,28,3,1,1,0,85,0
659,14426,25413,Sales & Marketing,region_16,0,m,sourcing,1,23,3,1,0,0,52,0
663,14503,77574,Sales & Marketing,region_7,0,m,sourcing,1,27,3,1,0,0,48,0
668,14572,40973,Sales & Marketing,region_2,0,m,sourcing,2,25,5,1,0,0,48,0
684,14871,29411,Analytics,region_22,0,m,sourcing,1,27,3,1,1,0,84,0
695,15015,6938,Sales & Marketing,region_2,0,f,sourcing,1,28,5,1,0,0,52,0
702,15202,27038,Finance,region_2,0,m,other,1,29,3,1,0,0,61,0
711,15380,31958,Analytics,region_22,0,m,other,1,28,4,1,0,0,83,0
715,15526,55682,Analytics,region_22,0,m,other,2,26,1,1,0,1,82,1
716,15591,36583,Sales & Marketing,region_22,0,m,other,1,29,3,1,0,0,56,0
725,15880,9752,Sales & Marketing,region_5,0,m,other,1,27,3,1,0,0,47,0
728,15984,5706,Sales & Marketing,region_15,0,m,other,1,30,3,1,0,0,48,0
730,16041,55758,Sales & Marketing,region_16,0,m,sourcing,1,21,3,1,0,0,52,0
736,16188,17504,Sales & Marketing,region_2,0,f,sourcing,1,24,1,1,0,0,54,0
743,16412,57657,Sales & Marketing,region_2,0,f,sourcing,1,23,5,1,0,0,49,0
749,16474,27019,Operations,region_27,0,m,other,1,28,3,1,0,0,62,0
752,16502,19404,Sales & Marketing,region_2,0,m,sourcing,1,23,3,1,0,0,48,0
755,16527,53017,Sales & Marketing,region_7,0,m,sourcing,1,29,3,1,0,0,51,0
758,16554,3376,Sales & Marketing,region_31,0,m,other,1,30,3,1,0,0,49,0
759,16590,59209,Sales & Marketing,region_30,0,m,other,1,24,5,1,0,0,44,0
766,16714,1808,Sales & Marketing,region_7,0,m,other,1,27,3,1,0,0,53,0
782,17040,19749,Analytics,region_26,0,m,other,2,23,3,1,0,0,82,0
790,17195,72575,Sales & Marketing,region_7,0,m,sourcing,1,22,5,1,0,0,50,0
792,17237,69400,Sales & Marketing,region_23,0,m,other,1,24,3,1,1,0,51,1
794,17314,69935,Sales & Marketing,region_2,0,m,other,1,23,3,1,1,0,50,0
801,17519,6318,Sales & Marketing,region_13,0,m,other,1,22,5,1,1,0,49,0
803,17544,38775,Analytics,region_22,0,m,sourcing,1,27,3,1,0,0,86,0
804,17605,16895,Sales & Marketing,region_29,0,m,other,1,29,5,1,0,0,49,0
810,17659,3760,Analytics,region_2,0,m,other,2,22,3,1,1,0,84,0
816,17722,51053,Sales & Marketing,region_28,0,m,other,1,27,3,1,0,0,48,0
824,17900,72795,Sales & Marketing,region_15,0,m,other,1,26,4,1,0,0,51,0
833,18166,53328,Sales & Marketing,region_2,0,m,sourcing,5,24,3,1,0,0,51,0
839,18299,22858,R&D,region_2,0,m,other,2,24,3,1,1,0,83,1
845,18434,28381,Analytics,region_32,0,m,other,2,23,3,1,0,0,87,0
850,18601,4877,Sales & Marketing,region_31,0,m,sourcing,2,27,3,1,0,0,45,0
852,18681,48475,Analytics,region_2,0,m,sourcing,3,22,3,1,0,0,79,0
860,18902,9354,Sales & Marketing,region_22,0,m,other,1,20,5,1,0,0,51,0
861,18906,7997,Sales & Marketing,region_2,0,m,other,1,24,3,1,0,0,94,1
868,19106,37583,HR,region_26,0,m,sourcing,1,30,3,1,0,0,48,0
871,19121,66011,Sales & Marketing,region_26,0,f,other,1,22,3,1,0,0,55,0
874,19179,67713,Analytics,region_31,0,m,other,1,28,3,1,0,0,79,0
890,19681,1236,Sales & Marketing,region_16,0,f,other,2,24,3,1,0,0,51,0
892,19796,36012,Sales & Marketing,region_2,0,m,other,1,23,3,1,0,0,53,0
898,20035,53184,Analytics,region_22,0,f,sourcing,1,27,3,1,0,0,84,0
907,20236,10240,Sales & Marketing,region_2,0,m,sourcing,1,28,4,1,0,0,47,0
910,20250,72836,Sales & Marketing,region_32,0,f,sourcing,1,28,3,1,0,0,48,0
920,20397,75900,Sales & Marketing,region_22,0,m,sourcing,1,27,3,1,0,0,46,0
938,20954,703,Analytics,region_22,0,f,other,1,27,4,1,0,0,84,0
955,21353,60854,Sales & Marketing,region_22,0,m,other,1,24,3,1,0,0,46,0
961,21633,16657,Analytics,region_2,0,m,other,1,24,3,1,0,0,86,0
962,21653,19286,Sales & Marketing,region_22,0,m,other,1,25,1,1,0,0,49,0
969,21741,59863,Sales & Marketing,region_16,0,m,sourcing,1,25,3,1,0,0,51,0
983,22015,52615,Sales & Marketing,region_26,0,m,sourcing,1,25,3,1,0,0,57,0
990,22140,13104,Sales & Marketing,region_2,0,m,other,1,22,3,1,1,0,51,0
1001,22390,20174,Sales & Marketing,region_9,0,f,sourcing,1,28,3,1,1,0,48,0
1003,22419,56334,R&D,region_2,0,m,sourcing,4,26,3,1,0,0,85,0
1005,22440,56203,Sales & Marketing,region_11,0,m,sourcing,1,24,5,1,0,0,51,0
1016,22585,20066,Sales & Marketing,region_6,0,m,sourcing,1,25,3,1,0,0,46,0
1021,22662,68626,Sales & Marketing,region_22,0,m,sourcing,4,24,3,1,0,0,51,0
1025,22721,12616,Sales & Marketing,region_2,0,m,sourcing,3,21,3,1,0,0,52,0
1026,22724,2026,R&D,region_2,0,m,other,2,27,3,1,0,0,87,0
1032,22988,76218,Procurement,region_26,0,m,other,1,28,3,1,0,0,66,0
1040,23144,16362,Sales & Marketing,region_22,0,m,other,1,27,5,1,0,0,48,0
1046,23291,44695,Sales & Marketing,region_32,0,m,sourcing,1,27,3,1,0,0,56,0
1078,23927,52188,Sales & Marketing,region_2,0,m,sourcing,1,21,3,1,0,0,50,0
1094,24263,42993,Sales & Marketing,region_14,0,m,sourcing,2,25,3,1,1,0,53,0
1098,24432,24963,Sales & Marketing,region_26,0,m,sourcing,1,25,5,1,0,0,50,0
1101,24470,40860,Analytics,region_32,0,f,other,1,29,5,1,1,0,82,0
1102,24484,52506,Sales & Marketing,region_2,0,m,other,1,27,3,1,0,0,51,0
1107,24561,6801,Sales & Marketing,region_2,0,m,other,1,21,5,1,0,0,49,0
1109,24581,32156,Sales & Marketing,region_29,0,m,other,1,28,3,1,0,0,51,0
1113,24627,61863,Sales & Marketing,region_31,0,m,sourcing,1,23,3,1,0,0,46,0
1125,24866,6233,Sales & Marketing,region_15,0,m,sourcing,1,22,3,1,0,0,53,0
1130,24937,44317,Sales & Marketing,region_2,0,m,sourcing,1,20,4,1,1,0,45,1
1132,24997,57922,Operations,region_15,0,m,sourcing,2,31,5,1,0,0,63,0
1145,25274,30442,Sales & Marketing,region_13,0,m,other,1,22,3,1,1,0,51,1
1147,25303,36571,Sales & Marketing,region_13,0,m,sourcing,1,23,3,1,0,0,51,0
1150,25337,27323,Sales & Marketing,region_15,0,m,other,1,23,5,1,0,0,49,0
1154,25373,68590,Sales & Marketing,region_15,0,m,sourcing,1,24,3,1,0,0,53,0
1157,25400,13125,Sales & Marketing,region_2,0,m,other,1,23,3,1,1,0,49,0
1160,25437,74870,Procurement,region_26,0,f,other,1,29,5,1,0,0,75,0
1176,25930,21041,Sales & Marketing,region_2,0,f,sourcing,1,28,3,1,1,0,47,0
1182,26132,72852,Sales & Marketing,region_2,0,m,sourcing,2,23,5,1,1,0,50,1
1184,26141,32857,Analytics,region_7,0,m,other,2,26,5,1,1,1,85,0
1186,26157,53931,Sales & Marketing,region_2,0,m,other,1,24,5,1,0,0,46,0
1187,26161,8296,Analytics,region_2,0,m,other,2,23,3,1,0,0,85,0
1198,26279,34640,Sales & Marketing,region_28,0,m,sourcing,1,24,3,1,0,0,50,0
1202,26356,68043,Sales & Marketing,region_28,0,m,other,1,24,4,1,0,0,48,0
1220,26817,16809,Sales & Marketing,region_22,0,m,other,4,27,3,1,0,0,52,0
1254,27521,30330,Technology,region_22,0,m,other,1,27,4,1,1,0,78,0
1261,27763,56765,Analytics,region_22,0,m,other,1,26,3,1,1,0,87,0
1279,28172,12308,Analytics,region_22,0,m,sourcing,2,28,3,1,1,0,93,0
1280,28189,68693,Sales & Marketing,region_2,0,m,referred,1,24,3,1,1,0,51,0
1282,28201,72806,Sales & Marketing,region_20,0,m,other,1,24,3,1,0,0,51,0
1284,28238,6849,Operations,region_2,0,m,sourcing,1,25,3,1,0,0,60,0
1289,28425,34657,Sales & Marketing,region_32,0,m,other,1,26,5,1,0,0,47,0
1296,28609,8209,Sales & Marketing,region_2,0,m,sourcing,3,23,4,1,0,0,51,0
1312,28952,9893,R&D,region_2,0,m,sourcing,1,26,3,1,1,0,87,0
1313,28956,77748,Sales & Marketing,region_22,0,m,other,3,25,3,1,0,0,45,0
1334,29465,33025,Technology,region_7,0,m,sourcing,1,24,3,1,0,0,82,0
1338,29579,37581,Sales & Marketing,region_2,0,m,sourcing,1,21,5,1,1,0,52,0
1347,29708,31789,Sales & Marketing,region_1,0,m,other,1,26,5,1,0,0,51,0
1349,29761,51927,Sales & Marketing,region_16,0,m,other,1,23,4,1,1,0,49,0
1363,30042,14425,Sales & Marketing,region_2,0,m,other,1,26,3,1,0,0,48,0
1366,30082,68824,Sales & Marketing,region_22,0,m,sourcing,2,29,5,1,0,0,45,0
1370,30166,56488,Analytics,region_22,0,m,sourcing,1,23,3,1,0,0,86,0
1376,30296,74366,Sales & Marketing,region_2,0,m,other,1,23,3,1,0,0,53,0
1385,30599,73491,Sales & Marketing,region_22,0,m,other,1,23,5,1,0,0,54,0
1393,30758,49226,Sales & Marketing,region_27,0,m,sourcing,4,28,3,1,0,0,49,0
1396,30800,62408,Sales & Marketing,region_15,0,m,other,1,23,3,1,1,0,49,0
1397,30805,76784,Analytics,region_7,0,m,other,1,26,3,1,1,0,86,0
1405,31058,43583,Sales & Marketing,region_2,0,m,other,1,26,5,1,0,0,49,0
1407,31069,21918,Sales & Marketing,region_32,0,m,other,3,23,5,1,0,0,50,0
1408,31074,58628,Sales & Marketing,region_22,0,m,sourcing,1,26,3,1,0,0,53,0
1415,31219,62911,Sales & Marketing,region_2,0,m,other,2,23,3,1,0,0,47,0
1417,31236,69705,Sales & Marketing,region_7,0,f,sourcing,1,25,3,1,0,0,50,0
1420,31266,65709,Operations,region_22,0,m,sourcing,1,27,3,1,0,0,54,0
1423,31294,4156,Sales & Marketing,region_2,0,f,sourcing,1,22,5,1,0,0,52,0
1428,31409,1390,Sales & Marketing,region_2,0,m,other,2,21,3,1,0,0,47,0
1448,31832,11995,Sales & Marketing,region_29,0,m,other,1,28,3,1,1,0,45,0
1456,31966,24480,Sales & Marketing,region_29,0,m,other,1,27,5,1,0,0,47,0
1463,32187,14839,Sales & Marketing,region_2,0,m,sourcing,1,29,5,1,0,0,47,0
1471,32307,23173,Sales & Marketing,region_16,0,m,other,1,24,3,1,0,0,50,0
1492,32680,77943,Sales & Marketing,region_31,0,m,other,1,23,3,1,0,0,48,0
1497,32818,41423,Technology,region_2,0,m,sourcing,1,33,3,1,1,0,76,0
1503,32931,4606,Analytics,region_22,0,m,other,1,23,3,1,0,0,90,0
1509,33094,38256,Procurement,region_2,0,m,other,1,30,3,1,1,0,68,0
1511,33114,28263,Sales & Marketing,region_2,0,m,sourcing,1,22,3,1,0,0,61,1
1519,33264,38297,Sales & Marketing,region_2,0,f,other,1,24,5,1,1,1,53,0
1524,33483,77779,Analytics,region_32,0,m,other,2,24,4,1,0,0,89,0
1534,33843,74460,Sales & Marketing,region_7,0,m,other,1,24,3,1,0,0,49,0
1548,34195,71091,Analytics,region_22,0,m,other,1,23,3,1,0,0,82,0
1553,34281,70611,Sales & Marketing,region_2,0,m,sourcing,2,22,3,1,0,0,48,0
1564,34525,63647,Sales & Marketing,region_2,0,f,other,1,25,5,1,1,0,51,0
1569,34647,6271,Sales & Marketing,region_7,0,m,sourcing,1,26,4,1,0,0,48,0
1570,34655,40807,Sales & Marketing,region_25,0,m,other,1,24,3,1,0,0,49,0
1572,34669,68753,Sales & Marketing,region_31,0,m,other,1,28,3,1,0,0,53,0
1594,35250,50628,Technology,region_2,0,f,sourcing,1,29,5,1,0,0,83,0
1605,35409,75506,Sales & Marketing,region_2,0,m,sourcing,2,24,3,1,0,0,49,0
1609,35577,62370,Analytics,region_2,0,f,other,1,24,5,1,0,0,83,0
1616,35723,56294,Sales & Marketing,region_22,0,f,sourcing,1,27,5,1,0,0,52,0
1619,35778,59024,Sales & Marketing,region_22,0,m,other,2,25,3,1,1,0,50,0
1624,35836,17364,Sales & Marketing,region_2,0,f,other,1,22,3,1,0,0,45,0
1642,36238,29478,Sales & Marketing,region_2,0,m,other,1,24,5,1,1,0,43,0
1658,36655,66393,Finance,region_2,0,m,sourcing,1,29,3,1,0,0,58,0
1671,37184,32454,Sales & Marketing,region_27,0,m,other,1,23,5,1,0,0,55,0
1672,37200,45136,Analytics,region_32,0,m,sourcing,1,24,4,1,0,0,81,0
1679,37371,37896,Sales & Marketing,region_27,0,m,sourcing,1,28,3,1,0,0,52,0
1701,37956,30951,Sales & Marketing,region_2,0,m,other,1,20,3,1,0,0,47,0
1703,37979,42714,Sales & Marketing,region_2,0,m,sourcing,1,25,3,1,1,0,51,0
1711,38179,72175,Sales & Marketing,region_2,0,m,sourcing,3,25,5,1,1,0,50,0
1714,38225,66747,Sales & Marketing,region_16,0,m,other,1,25,5,1,1,0,46,1
1715,38231,24169,Sales & Marketing,region_32,0,m,other,1,26,3,1,0,0,50,0
1718,38330,49063,Sales & Marketing,region_2,0,m,sourcing,1,24,3,1,0,0,52,0
1720,38377,44209,Technology,region_27,0,m,sourcing,1,27,3,1,0,0,78,0
1723,38408,21550,Sales & Marketing,region_2,0,m,sourcing,1,25,3,1,1,0,50,0
1728,38444,67085,Sales & Marketing,region_16,0,m,other,1,24,2,1,0,0,54,0
1737,38657,26320,Sales & Marketing,region_2,0,f,sourcing,3,25,3,1,0,0,50,0
1740,38743,30837,Sales & Marketing,region_26,0,m,sourcing,1,23,3,1,0,0,45,0
1741,38745,43604,Analytics,region_2,0,m,other,2,24,3,1,0,0,89,0
1743,38782,75834,Sales & Marketing,region_2,0,m,other,2,23,3,1,1,0,48,0
1746,38944,48380,Sales & Marketing,region_16,0,m,sourcing,1,24,5,1,0,0,51,0
1748,38976,33207,Sales & Marketing,region_2,0,f,sourcing,2,25,3,1,1,0,50,0
1749,38977,76956,Analytics,region_22,0,m,sourcing,1,26,3,1,0,0,85,0
1758,39207,40728,Sales & Marketing,region_22,0,m,other,2,24,3,1,0,0,51,0
1771,39497,7787,Sales & Marketing,region_29,0,m,other,1,22,3,1,0,0,48,0
1773,39518,44517,Sales & Marketing,region_2,0,m,other,1,23,3,1,0,0,67,1
1777,39656,57818,Sales & Marketing,region_7,0,m,sourcing,1,27,5,1,0,0,62,1
1786,39852,10701,Analytics,region_2,0,m,other,1,24,3,1,0,0,84,0
1791,40018,18349,Analytics,region_22,0,m,sourcing,1,26,3,1,1,0,82,0
1792,40031,75180,R&D,region_22,0,m,other,1,27,3,1,0,0,86,0
1799,40250,27792,Operations,region_22,0,m,sourcing,1,25,3,1,0,0,61,0
1807,40498,19376,Sales & Marketing,region_16,0,m,sourcing,1,23,3,1,0,0,45,0
1811,40609,75446,Analytics,region_2,0,m,other,1,25,3,1,0,0,88,0
1812,40634,28775,Sales & Marketing,region_28,0,m,other,1,23,3,1,0,0,53,0
1815,40695,53165,Sales & Marketing,region_26,0,m,sourcing,1,24,3,1,0,0,52,0
1816,40725,15942,Sales & Marketing,region_14,0,m,sourcing,2,24,5,1,0,0,54,0
1821,40789,73577,Sales & Marketing,region_2,0,m,sourcing,1,30,3,1,0,0,46,0
1837,41087,31689,Sales & Marketing,region_2,0,m,other,2,20,3,1,0,0,53,0
1842,41191,17739,Sales & Marketing,region_2,0,m,sourcing,1,24,5,1,0,0,49,0
1848,41234,16380,Technology,region_11,0,m,other,1,31,5,1,0,0,79,0
1854,41435,5780,Sales & Marketing,region_9,0,m,other,2,29,3,1,0,0,50,0
1856,41451,2620,R&D,region_2,0,m,sourcing,1,25,3,1,0,0,87,0
1863,41591,37334,Operations,region_31,0,m,other,1,27,3,1,0,0,63,0
1865,41605,15861,Sales & Marketing,region_22,0,m,sourcing,3,23,3,1,0,0,51,0
1869,41742,46320,Operations,region_8,0,f,other,1,29,3,1,0,0,52,0
1884,42176,1051,Sales & Marketing,region_2,0,m,sourcing,3,25,5,1,1,0,49,0
1888,42242,55570,Sales & Marketing,region_16,0,m,sourcing,1,25,5,1,1,0,51,0
1894,42357,57379,Sales & Marketing,region_15,0,m,sourcing,1,28,3,1,1,0,50,0
1899,42519,26700,Analytics,region_22,0,m,other,2,26,3,1,1,0,81,0
1904,42662,35115,Sales & Marketing,region_21,0,m,sourcing,2,30,3,1,0,0,49,0
1910,42908,49972,Sales & Marketing,region_22,0,m,other,1,27,5,1,0,0,48,0
1912,42968,18266,Sales & Marketing,region_2,0,m,other,2,24,3,1,0,0,48,0
1918,43053,18508,Sales & Marketing,region_16,0,m,other,1,23,4,1,1,0,43,0
1923,43193,25457,Sales & Marketing,region_32,0,m,other,1,24,3,1,0,0,48,0
1926,43265,15928,Analytics,region_22,0,m,other,1,26,3,1,0,0,82,0
1927,43273,53718,Sales & Marketing,region_16,0,m,sourcing,1,25,3,1,0,0,46,0
1929,43332,11092,Sales & Marketing,region_2,0,m,sourcing,1,25,3,1,0,0,42,0
1933,43419,52647,Sales & Marketing,region_7,0,m,other,1,25,3,1,0,0,54,0
1948,43801,48679,Sales & Marketing,region_22,0,m,other,1,21,5,1,0,0,48,0
